input,expected_text,generated_text,cleaned_generated_text,cleaned_expected_text,sentence_levenshtein,Problem type
Eine <SoftSkill_C>selbständige</SoftSkill_C> und <SoftSkill>engagierte Arbeitsweise</SoftSkill> ist für Sie selbstverständlich.,Eine <SoftSkill>selbständige Arbeitsweise</SoftSkill> und <SoftSkill>engagierte Arbeitsweise</SoftSkill> ist für Sie selbstverständlich.,Eine <SoftSkill>selbständige Arbeitsweise</SoftSkill> und <SoftSkill>engagierte Arbeitsweise</SoftSkill> ist für Sie selbstverständlich.,Eine selbständige Arbeitsweise und engagierte Arbeitsweise ist für Sie selbstverständlich.,Eine selbständige Arbeitsweise und engagierte Arbeitsweise ist für Sie selbstverständlich.,0,OWA
"Für die Region Zug/Innerschwyz suchen wir am Standort Schwyz eine <SoftSkill_C>organisations-</SoftSkill_C> und <SoftSkill>führungsgewandte Persönlichkeit</SoftSkill> als
Leiter/-in Regionalsekretariat 100%",Für die Region Zug/Innerschwyz suchen wir am Standort Schwyz eine <SoftSkill>organisationsgewandte Persönlichkeit</SoftSkill> und <SoftSkill>führungsgewandte Persönlichkeit</SoftSkill> als Leiter/-in Regionalsekretariat 100%.,Für die Region Zug/Innerschwyz suchen wir am Standort Schwyz eine <SoftSkill>organisationsgewandte Persönlichkeit</SoftSkill> und <SoftSkill>führungsgewandte Persönlichkeit</SoftSkill> als Leiter/-in Regionalsekretariat 100%.,Für die Region Zug/Innerschwyz suchen wir am Standort Schwyz eine organisationsgewandte Persönlichkeit und führungsgewandte Persönlichkeit als Leiter/-in Regionalsekretariat 100%.,Für die Region Zug/Innerschwyz suchen wir am Standort Schwyz eine organisationsgewandte Persönlichkeit und führungsgewandte Persönlichkeit als Leiter/-in Regionalsekretariat 100%.,0,HOWA
"Mobilität ist das Ziel
Zur Ergänzung unseres Teams am Telefon/Empfang suchen wir eine <SoftSkill_C>kundenorientierte</SoftSkill_C> und <SoftSkill>flexible Persönlichkeit</SoftSkill>, der wir das folgende Aufgabengebiet übertragen:","Mobilität ist das Ziel. Zur Ergänzung unseres Teams am Telefon/Empfang suchen wir eine <SoftSkill>kundenorientierte Persönlichkeit</SoftSkill> und <SoftSkill>flexible Persönlichkeit</SoftSkill>, der wir das folgende Aufgabengebiet übertragen:""","Mobilität ist das Ziel. Zur Ergänzung unseres Teams am Telefon/Empfang suchen wir eine <SoftSkill>kundenorientierte Persönlichkeit</SoftSkill> und <SoftSkill>flexible Persönlichkeit</SoftSkill>, der wir das folgende Aufgabengebiet übertragen:""","Mobilität ist das Ziel. Zur Ergänzung unseres Teams am Telefon/Empfang suchen wir eine kundenorientierte Persönlichkeit und flexible Persönlichkeit, der wir das folgende Aufgabengebiet übertragen:""","Mobilität ist das Ziel. Zur Ergänzung unseres Teams am Telefon/Empfang suchen wir eine kundenorientierte Persönlichkeit und flexible Persönlichkeit, der wir das folgende Aufgabengebiet übertragen:""",0,OWA
"Ihre <SoftSkill>Arbeitsweise ist exakt</SoftSkill>, <SoftSkill_C>strukturiert</SoftSkill_C> und <SoftSkill>selbständig</SoftSkill>.","Ihre <SoftSkill>Arbeitsweise ist exakt</SoftSkill>, <SoftSkill>Ihre Arbeitsweise ist strukturiert</SoftSkill> und <SoftSkill>Ihre Arbeitsweise ist selbständig</SoftSkill>","Ihre <SoftSkill>Arbeitsweise ist exakt</SoftSkill>, <SoftSkill>strukturiert</SoftSkill> und <SoftSkill>selbständig</SoftSkill>","Ihre Arbeitsweise ist exakt, strukturiert und selbständig","Ihre Arbeitsweise ist exakt, Ihre Arbeitsweise ist strukturiert und Ihre Arbeitsweise ist selbständig",44,MWA
<SoftSkill_C>Selbständige</SoftSkill_C> und <SoftSkill>zuverlässige Arbeitsweise</SoftSkill>,<SoftSkill>Selbständige Arbeitsweise</SoftSkill> und <SoftSkill>zuverlässige Arbeitsweise</SoftSkill>,<SoftSkill>Selbständige Arbeitsweise</SoftSkill> und <SoftSkill>zuverlässige Arbeitsweise</SoftSkill>,Selbständige Arbeitsweise und zuverlässige Arbeitsweise,Selbständige Arbeitsweise und zuverlässige Arbeitsweise,0,OWA
"•  Eine <SoftSkill_C>positive</SoftSkill_C>, <SoftSkill>hilfsbereite Einstellung</SoftSkill> sowie den <SoftSkill>Willen, dich selbst und das Unternehmen ständig weiterzuentwickeln</SoftSkill>","Eine <SoftSkill>positive Einstellung</SoftSkill>, <SoftSkill>hilfsbereite Einstellung</SoftSkill> sowie den <SoftSkill>Willen, dich selbst und das Unternehmen ständig weiterzuentwickeln</SoftSkill>.","Eine <SoftSkill>positive Einstellung</SoftSkill>, <SoftSkill>hilfsbereite Einstellung</SoftSkill> sowie den <SoftSkill>Willen, dich selbst und das Unternehmen ständig weiterzuentwickeln</SoftSkill>.","Eine positive Einstellung, hilfsbereite Einstellung sowie den Willen, dich selbst und das Unternehmen ständig weiterzuentwickeln.","Eine positive Einstellung, hilfsbereite Einstellung sowie den Willen, dich selbst und das Unternehmen ständig weiterzuentwickeln.",0,OWA
Als <SoftSkill_C>motivierende</SoftSkill_C> und <SoftSkill>begeisternde Persönlichkeit</SoftSkill> <SoftSkill>handeln Sie eigenverantwortlich</SoftSkill> und <SoftSkill_C>ergebnisorientiert</SoftSkill_C>.,Als <SoftSkill>motivierende Persönlichkeit</SoftSkill> und <SoftSkill>begeisternde Persönlichkeit</SoftSkill> <SoftSkill>handeln Sie eigenverantwortlich</SoftSkill> und <SoftSkill>handeln Sie ergebnisorientiert</SoftSkill>.,Als <SoftSkill>motivierende Persönlichkeit</SoftSkill> und <SoftSkill>begeisternde Persönlichkeit</SoftSkill> <SoftSkill>handeln Sie eigenverantwortlich</SoftSkill> und <SoftSkill>handeln Sie ergebnisorientiert</SoftSkill>.,Als motivierende Persönlichkeit und begeisternde Persönlichkeit handeln Sie eigenverantwortlich und handeln Sie ergebnisorientiert.,Als motivierende Persönlichkeit und begeisternde Persönlichkeit handeln Sie eigenverantwortlich und handeln Sie ergebnisorientiert.,0,MDC
"Abgeschlossene Volksschule (mittlere o. oberste Stufe), gute Mathematik- u. Deutschnoten, <SoftSkill_C>positives Lern-</SoftSkill_C> u. <SoftSkill>Sozialverhalten</SoftSkill>.","Abgeschlossene Volksschule (mittlere o. oberste Stufe), gute Mathematik- u. Deutschnoten, <SoftSkill>positives Lernverhalten</SoftSkill> u. <SoftSkill>positives Sozialverhalten</SoftSkill>.","Abgeschlossene Volksschule (mittlere o. oberste Stufe), gute Mathematik- u. Deutschnoten, <SoftSkill>positives Lernverhalten</SoftSkill> u. <SoftSkill>Sozialverhalten</SoftSkill>.","Abgeschlossene Volksschule (mittlere o. oberste Stufe), gute Mathematik- u. Deutschnoten, positives Lernverhalten u. Sozialverhalten.","Abgeschlossene Volksschule (mittlere o. oberste Stufe), gute Mathematik- u. Deutschnoten, positives Lernverhalten u. positives Sozialverhalten.",10,HOWA
"Für eine Pflegeabteilung suchen wir Sie als <SoftSkill_C>motivierte</SoftSkill_C> und <SoftSkill>fachkompetente Persönlichkeit</SoftSkill> nach Vereinbarung als
Stationsleiter/in (FH, HF,DN II, AKP, PsychKP) 80-100%
Aufgaben","Für eine Pflegeabteilung suchen wir Sie als <SoftSkill>motivierte Persönlichkeit</SoftSkill> und <SoftSkill>fachkompetente Persönlichkeit</SoftSkill> nach Vereinbarung als Stationsleiter/in (FH, HF, DN II, AKP, PsychKP) 80-100%
Aufgaben","Für eine Pflegeabteilung suchen wir Sie als <SoftSkill>motivierte Persönlichkeit</SoftSkill> und <SoftSkill>fachkompetente Persönlichkeit</SoftSkill> nach Vereinbarung als Stationsleiter/in (FH, HF, DN II, AKP, PsychKP) 80-100%
Aufgaben","Für eine Pflegeabteilung suchen wir Sie als motivierte Persönlichkeit und fachkompetente Persönlichkeit nach Vereinbarung als Stationsleiter/in (FH, HF, DN II, AKP, PsychKP) 80-100% Aufgaben","Für eine Pflegeabteilung suchen wir Sie als motivierte Persönlichkeit und fachkompetente Persönlichkeit nach Vereinbarung als Stationsleiter/in (FH, HF, DN II, AKP, PsychKP) 80-100% Aufgaben",0,OWA
"Für diese anspruchsvolle Tätigkeit suchen wir eine <SoftSkill_C>flexible</SoftSkill_C>, <SoftSkill_C>belastbare</SoftSkill_C> und <SoftSkill>teamfähige Persönlichkeit</SoftSkill> mit <SoftSkill>hoher Dienstleistungsbereitschaft</SoftSkill>.","Für diese anspruchsvolle Tätigkeit suchen wir eine <SoftSkill>flexible Persönlichkeit</SoftSkill>, <SoftSkill>belastbare Persönlichkeit</SoftSkill> und <SoftSkill>teamfähige Persönlichkeit</SoftSkill> mit <SoftSkill>hoher Dienstleistungsbereitschaft</SoftSkill>.","Für diese anspruchsvolle Tätigkeit suchen wir eine <SoftSkill>flexible Persönlichkeit</SoftSkill>, <SoftSkill>belastbare Persönlichkeit</SoftSkill> und <SoftSkill>teamfähige Persönlichkeit</SoftSkill> mit <SoftSkill>hoher Dienstleistungsbereitschaft</SoftSkill>.","Für diese anspruchsvolle Tätigkeit suchen wir eine flexible Persönlichkeit, belastbare Persönlichkeit und teamfähige Persönlichkeit mit hoher Dienstleistungsbereitschaft.","Für diese anspruchsvolle Tätigkeit suchen wir eine flexible Persönlichkeit, belastbare Persönlichkeit und teamfähige Persönlichkeit mit hoher Dienstleistungsbereitschaft.",0,MC
