input,expected_text,generated_text,input_skills_C,expected_skills_C,generated_skills_C,num_skills_C,num_gen_skills_C,percent_skills_match_C,num_skills_match_C,rouge_scores_skill_C,bleu_scores_skill_C,rouge1_avg_skill_C,rouge2_avg_skill_C,rougeL_avg_skill_C,bleu_avg_skill_C,levenshtein_skill_C,mismatched_ALL,Problem type
"<SoftSkill>Zahlenflair</SoftSkill>
<SoftSkill>Gute Auffassungsgabe</SoftSkill>
<SoftSkill>Organisatorisches Geschick</SoftSkill>
<SoftSkill>Vernetztes Denken</SoftSkill>
<SoftSkill_C>Exakte</SoftSkill_C> und <SoftSkill>selbstständige Arbeitsweise</SoftSkill>
<SoftSkill>Kontaktfreudig</SoftSkill>
<SoftSkill>Gute Umgangsformen</SoftSkill>","<SoftSkill>Zahlenflair</SoftSkill>
<SoftSkill>Gute Auffassungsgabe</SoftSkill>
<SoftSkill>Organisatorisches Geschick</SoftSkill>
<SoftSkill>Vernetztes Denken</SoftSkill>
<SoftSkill>Exakte Arbeitsweise</SoftSkill> und <SoftSkill>selbstständige Arbeitsweise</SoftSkill>
<SoftSkill>Kontaktfreudig</SoftSkill>
<SoftSkill>Gute Umgangsformen</SoftSkill>","<SoftSkill>Zahlenflair</SoftSkill>
<SoftSkill>Gute Auffassungsgabe</SoftSkill>
<SoftSkill>Organisatorisches Geschick</SoftSkill>
<SoftSkill>Vernetztes Denken</SoftSkill>
<SoftSkill>Exakte</SoftSkill> und <SoftSkill>selbstständige Arbeitsweise</SoftSkill>
<SoftSkill>Kontaktfreudig</SoftSkill>
<SoftSkill>Gute Umgangsformen</SoftSkill>",['Exakte'],['Exakte Arbeitsweise'],['Exakte'],1,1,0.0,0.0,"[[{'rouge-1': {'r': 1.0, 'p': 0.5, 'f': 0.6666666622222223}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 0.5, 'f': 0.6666666622222223}}]]",[0.11455884399268773],0.6666666622222223,0.0,0.6666666622222223,0.11455884399268773,13,False,OWA
"Eine <SoftSkill_C>selbständige</SoftSkill_C> und <SoftSkill>problemlösungsorientierte Arbeitsweise</SoftSkill> sowie <SoftSkill>unternehmerisches Denken</SoftSkill> zeichnen Sie ebenso aus, wie eine <SoftSkill>schnelle Auffassungsgabe</SoftSkill> und <SoftSkill>Geschick im Umgang mit Kunden</SoftSkill>","Eine <SoftSkill>selbständige Arbeitsweise</SoftSkill> und <SoftSkill>problemlösungsorientierte Arbeitsweise</SoftSkill> sowie <SoftSkill>unternehmerisches Denken</SoftSkill> zeichnen Sie ebenso aus, wie eine <SoftSkill>schnelle Auffassungsgabe</SoftSkill> und <SoftSkill>Geschick im Umgang mit Kunden</SoftSkill>","Eine <SoftSkill>selbständige Arbeitsweise</SoftSkill> und <SoftSkill>problemlösungsorientierte Arbeitsweise</SoftSkill> sowie <SoftSkill>unternehmerisches Denken</SoftSkill> zeichnen Sie ebenso aus, wie eine <SoftSkill>schnelle Auffassungsgabe</SoftSkill> und <SoftSkill>Geschick im Umgang mit Kunden</SoftSkill>",['selbständige'],['selbständige Arbeitsweise'],['selbständige Arbeitsweise'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,OWA
"Sie sind ein <SoftSkill>absoluter Teamplayer</SoftSkill>, verfügen über eine <SoftSkill>rasche Auffassungsgabe</SoftSkill> und überzeugen durch Ihren <SoftSkill_C>proaktiven</SoftSkill_C>, <SoftSkill_C>selbständigen</SoftSkill_C> und <SoftSkill>eigenverantwortlichen Arbeitsstil</SoftSkill>.","Sie sind ein <SoftSkill>absoluter Teamplayer</SoftSkill>, verfügen über eine <SoftSkill>rasche Auffassungsgabe</SoftSkill> und überzeugen durch Ihren <SoftSkill>proaktiven Arbeitsstil</SoftSkill>, <SoftSkill>selbständigen Arbeitsstil</SoftSkill> und <SoftSkill>eigenverantwortlichen Arbeitsstil</SoftSkill>.","Sie sind ein <SoftSkill>absoluter Teamplayer</SoftSkill>, verfügen über eine <SoftSkill>rasche Auffassungsgabe</SoftSkill> und überzeugen durch Ihren <SoftSkill>proaktiven Arbeitsstil</SoftSkill>, <SoftSkill>selbständigen Arbeitsstil</SoftSkill> und <SoftSkill>eigenverantwortlichen Arbeitsstil</SoftSkill>.","['proaktiven', 'selbständigen']","['proaktiven Arbeitsstil', 'selbständigen Arbeitsstil']","['proaktiven Arbeitsstil', 'selbständigen Arbeitsstil']",2,2,100.0,2.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False,MC
Wir wenden uns an ein <SoftSkill_C>junges</SoftSkill_C> und <SoftSkill>dynamisches Verkaufstalent</SoftSkill>.,Wir wenden uns an ein <SoftSkill>junges Verkaufstalent</SoftSkill> und <SoftSkill>dynamisches Verkaufstalent</SoftSkill>.,Wir wenden uns an ein <SoftSkill>junges Verkaufstalent</SoftSkill> und <SoftSkill>dynamisches Verkaufstalent</SoftSkill>.,['junges'],['junges Verkaufstalent'],['junges Verkaufstalent'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,OWA
Eine <SoftSkill_C>selbständige</SoftSkill_C> und <SoftSkill>engagierte Arbeitsweise</SoftSkill> ist für Sie selbstverständlich.,Eine <SoftSkill>selbständige Arbeitsweise</SoftSkill> und <SoftSkill>engagierte Arbeitsweise</SoftSkill> ist für Sie selbstverständlich.,Eine <SoftSkill>selbständige Arbeitsweise</SoftSkill> und <SoftSkill>engagierte Arbeitsweise</SoftSkill> ist für Sie selbstverständlich.,['selbständige'],['selbständige Arbeitsweise'],['selbständige Arbeitsweise'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,OWA
"Für die Region Zug/Innerschwyz suchen wir am Standort Schwyz eine <SoftSkill_C>organisations-</SoftSkill_C> und <SoftSkill>führungsgewandte Persönlichkeit</SoftSkill> als
Leiter/-in Regionalsekretariat 100%",Für die Region Zug/Innerschwyz suchen wir am Standort Schwyz eine <SoftSkill>organisationsgewandte Persönlichkeit</SoftSkill> und <SoftSkill>führungsgewandte Persönlichkeit</SoftSkill> als Leiter/-in Regionalsekretariat 100%.,Für die Region Zug/Innerschwyz suchen wir am Standort Schwyz eine <SoftSkill>organisationsgewandte Persönlichkeit</SoftSkill> und <SoftSkill>führungsgewandte Persönlichkeit</SoftSkill> als Leiter/-in Regionalsekretariat 100%.,['organisations-'],['organisationsgewandte Persönlichkeit'],['organisationsgewandte Persönlichkeit'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,HOWA
"Mobilität ist das Ziel
Zur Ergänzung unseres Teams am Telefon/Empfang suchen wir eine <SoftSkill_C>kundenorientierte</SoftSkill_C> und <SoftSkill>flexible Persönlichkeit</SoftSkill>, der wir das folgende Aufgabengebiet übertragen:","Mobilität ist das Ziel. Zur Ergänzung unseres Teams am Telefon/Empfang suchen wir eine <SoftSkill>kundenorientierte Persönlichkeit</SoftSkill> und <SoftSkill>flexible Persönlichkeit</SoftSkill>, der wir das folgende Aufgabengebiet übertragen:""","Mobilität ist das Ziel. Zur Ergänzung unseres Teams am Telefon/Empfang suchen wir eine <SoftSkill>kundenorientierte Persönlichkeit</SoftSkill> und <SoftSkill>flexible Persönlichkeit</SoftSkill>, der wir das folgende Aufgabengebiet übertragen:""",['kundenorientierte'],['kundenorientierte Persönlichkeit'],['kundenorientierte Persönlichkeit'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,OWA
"Ihre <SoftSkill>Arbeitsweise ist exakt</SoftSkill>, <SoftSkill_C>strukturiert</SoftSkill_C> und <SoftSkill>selbständig</SoftSkill>.","Ihre <SoftSkill>Arbeitsweise ist exakt</SoftSkill>, <SoftSkill>Ihre Arbeitsweise ist strukturiert</SoftSkill> und <SoftSkill>Ihre Arbeitsweise ist selbständig</SoftSkill>","Ihre <SoftSkill>Arbeitsweise ist exakt</SoftSkill>, <SoftSkill>strukturiert</SoftSkill> und <SoftSkill>selbständig</SoftSkill>",['strukturiert'],['Ihre Arbeitsweise ist strukturiert'],['strukturiert'],1,1,0.0,0.0,"[[{'rouge-1': {'r': 1.0, 'p': 0.25, 'f': 0.39999999680000003}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 0.25, 'f': 0.39999999680000003}}]]",[0.15987974607969388],0.39999999680000003,0.0,0.39999999680000003,0.15987974607969388,22,False,MWA
<SoftSkill_C>Selbständige</SoftSkill_C> und <SoftSkill>zuverlässige Arbeitsweise</SoftSkill>,<SoftSkill>Selbständige Arbeitsweise</SoftSkill> und <SoftSkill>zuverlässige Arbeitsweise</SoftSkill>,<SoftSkill>Selbständige Arbeitsweise</SoftSkill> und <SoftSkill>zuverlässige Arbeitsweise</SoftSkill>,['Selbständige'],['Selbständige Arbeitsweise'],['Selbständige Arbeitsweise'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,OWA
"•  Eine <SoftSkill_C>positive</SoftSkill_C>, <SoftSkill>hilfsbereite Einstellung</SoftSkill> sowie den <SoftSkill>Willen, dich selbst und das Unternehmen ständig weiterzuentwickeln</SoftSkill>","Eine <SoftSkill>positive Einstellung</SoftSkill>, <SoftSkill>hilfsbereite Einstellung</SoftSkill> sowie den <SoftSkill>Willen, dich selbst und das Unternehmen ständig weiterzuentwickeln</SoftSkill>.","Eine <SoftSkill>positive Einstellung</SoftSkill>, <SoftSkill>hilfsbereite Einstellung</SoftSkill> sowie den <SoftSkill>Willen, dich selbst und das Unternehmen ständig weiterzuentwickeln</SoftSkill>.",['positive'],['positive Einstellung'],['positive Einstellung'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,OWA
Als <SoftSkill_C>motivierende</SoftSkill_C> und <SoftSkill>begeisternde Persönlichkeit</SoftSkill> <SoftSkill>handeln Sie eigenverantwortlich</SoftSkill> und <SoftSkill_C>ergebnisorientiert</SoftSkill_C>.,Als <SoftSkill>motivierende Persönlichkeit</SoftSkill> und <SoftSkill>begeisternde Persönlichkeit</SoftSkill> <SoftSkill>handeln Sie eigenverantwortlich</SoftSkill> und <SoftSkill>handeln Sie ergebnisorientiert</SoftSkill>.,Als <SoftSkill>motivierende Persönlichkeit</SoftSkill> und <SoftSkill>begeisternde Persönlichkeit</SoftSkill> <SoftSkill>handeln Sie eigenverantwortlich</SoftSkill> und <SoftSkill>handeln Sie ergebnisorientiert</SoftSkill>.,"['motivierende', 'ergebnisorientiert']","['motivierende Persönlichkeit', 'handeln Sie ergebnisorientiert']","['motivierende Persönlichkeit', 'handeln Sie ergebnisorientiert']",2,2,100.0,2.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False,MDC
"Abgeschlossene Volksschule (mittlere o. oberste Stufe), gute Mathematik- u. Deutschnoten, <SoftSkill_C>positives Lern-</SoftSkill_C> u. <SoftSkill>Sozialverhalten</SoftSkill>.","Abgeschlossene Volksschule (mittlere o. oberste Stufe), gute Mathematik- u. Deutschnoten, <SoftSkill>positives Lernverhalten</SoftSkill> u. <SoftSkill>positives Sozialverhalten</SoftSkill>.","Abgeschlossene Volksschule (mittlere o. oberste Stufe), gute Mathematik- u. Deutschnoten, <SoftSkill>positives Lernverhalten</SoftSkill> u. <SoftSkill>Sozialverhalten</SoftSkill>.",['positives Lern-'],['positives Lernverhalten'],['positives Lernverhalten'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,HOWA
"Für eine Pflegeabteilung suchen wir Sie als <SoftSkill_C>motivierte</SoftSkill_C> und <SoftSkill>fachkompetente Persönlichkeit</SoftSkill> nach Vereinbarung als
Stationsleiter/in (FH, HF,DN II, AKP, PsychKP) 80-100%
Aufgaben","Für eine Pflegeabteilung suchen wir Sie als <SoftSkill>motivierte Persönlichkeit</SoftSkill> und <SoftSkill>fachkompetente Persönlichkeit</SoftSkill> nach Vereinbarung als Stationsleiter/in (FH, HF, DN II, AKP, PsychKP) 80-100%
Aufgaben","Für eine Pflegeabteilung suchen wir Sie als <SoftSkill>motivierte Persönlichkeit</SoftSkill> und <SoftSkill>fachkompetente Persönlichkeit</SoftSkill> nach Vereinbarung als Stationsleiter/in (FH, HF, DN II, AKP, PsychKP) 80-100%
Aufgaben",['motivierte'],['motivierte Persönlichkeit'],['motivierte Persönlichkeit'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,OWA
"Für diese anspruchsvolle Tätigkeit suchen wir eine <SoftSkill_C>flexible</SoftSkill_C>, <SoftSkill_C>belastbare</SoftSkill_C> und <SoftSkill>teamfähige Persönlichkeit</SoftSkill> mit <SoftSkill>hoher Dienstleistungsbereitschaft</SoftSkill>.","Für diese anspruchsvolle Tätigkeit suchen wir eine <SoftSkill>flexible Persönlichkeit</SoftSkill>, <SoftSkill>belastbare Persönlichkeit</SoftSkill> und <SoftSkill>teamfähige Persönlichkeit</SoftSkill> mit <SoftSkill>hoher Dienstleistungsbereitschaft</SoftSkill>.","Für diese anspruchsvolle Tätigkeit suchen wir eine <SoftSkill>flexible Persönlichkeit</SoftSkill>, <SoftSkill>belastbare Persönlichkeit</SoftSkill> und <SoftSkill>teamfähige Persönlichkeit</SoftSkill> mit <SoftSkill>hoher Dienstleistungsbereitschaft</SoftSkill>.","['flexible', 'belastbare']","['flexible Persönlichkeit', 'belastbare Persönlichkeit']","['flexible Persönlichkeit', 'belastbare Persönlichkeit']",2,2,100.0,2.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False,MC
