,input,output
186," Sie <SoftSkill>können gut planen</SoftSkill>, zeichnen sich durch <SoftSkill_C>hervorragendes analytisches</SoftSkill_C> und <SoftSkill>synthetisches Denken</SoftSkill> aus und <SoftSkill>arbeiten selbstständig</SoftSkill> und <SoftSkill_C>sorgfältig</SoftSkill_C>. ->"," Sie <SoftSkill>können gut planen</SoftSkill>, zeichnen sich durch <SoftSkill>hervorragendes analytisches Denken</SoftSkill> und <SoftSkill>synthetisches Denken</SoftSkill> aus und <SoftSkill>arbeiten selbstständig</SoftSkill> und <SoftSkill>arbeiten sorgfältig</SoftSkill>."
187," Dank Ihrer <SoftSkill_C>lösungsorientierten</SoftSkill_C> und <SoftSkill>proaktiven Arbeitsweise</SoftSkill> sind Sie <SoftSkill>in der Lage, gezielt Schwerpunkte zu setzen</SoftSkill> und Ihre <SoftSkill>Strategie hinsichtlich einer konkreten Vision zu implementieren</SoftSkill>. ->"," Dank Ihrer <SoftSkill>lösungsorientierten Arbeitsweise</SoftSkill> und <SoftSkill>proaktiven Arbeitsweise</SoftSkill> sind Sie <SoftSkill>in der Lage, gezielt Schwerpunkte zu setzen</SoftSkill> und Ihre <SoftSkill>Strategie hinsichtlich einer konkreten Vision zu implementieren</SoftSkill>."
188,•  <SoftSkill_C>Analytisches</SoftSkill_C> und <SoftSkill>strategisches Denkvermögen</SoftSkill> ->,<SoftSkill>Analytisches Denkvermögen</SoftSkill> und <SoftSkill>strategisches Denkvermögen</SoftSkill>
189,Für diese abwechslungsreiche und selbständige Arbeit suchen wir eine Persönlichkeit mit <SoftSkill>guten Umgangsformen</SoftSkill> sowie einer <SoftSkill_C>gepflegten</SoftSkill_C> und <SoftSkill>freundlichen Erscheinung</SoftSkill>. ->,Für diese abwechslungsreiche und selbständige Arbeit suchen wir eine Persönlichkeit mit <SoftSkill>guten Umgangsformen</SoftSkill> sowie einer <SoftSkill>gepflegten Erscheinung</SoftSkill> und <SoftSkill>freundlichen Erscheinung</SoftSkill>.
190," Ausbildung zum/zur Kaufmann/-frau EFZ oder vergleichbare Ausbildung
<SoftSkill>Freude am Kontakt mit Menschen</SoftSkill>
<SoftSkill_C>Exaktes</SoftSkill_C>, <SoftSkill_C>mitdenkendes</SoftSkill_C> und <SoftSkill>selbständiges Arbeiten</SoftSkill>
<SoftSkill>Stilsicheres Deutsch</SoftSkill>
Gute MS-Office-Kenntnisse
Führerausweis für Personenwagen Kat. ->"," Ausbildung zum/zur Kaufmann/-frau EFZ oder vergleichbare Ausbildung
<SoftSkill>Freude am Kontakt mit Menschen</SoftSkill>
<SoftSkill>Exaktes Arbeiten</SoftSkill>, <SoftSkill>mitdenkendes Arbeiten</SoftSkill> und <SoftSkill>selbständiges Arbeiten</SoftSkill>
<SoftSkill>Stilsicheres Deutsch</SoftSkill>
Gute MS-Office-Kenntnisse
Führerausweis für Personenwagen Kat."
191," Sie sind eine <SoftSkill_C>kunden-</SoftSkill_C> und <SoftSkill>verkaufsorientierte Persönlichkeit</SoftSkill> und verstehen es, unsere <SoftSkill>Kundschaft kompetent zu beraten</SoftSkill>. ->"," Sie sind eine <SoftSkill>kundenorientierte Persönlichkeit</SoftSkill> und <SoftSkill>verkaufsorientierte Persönlichkeit</SoftSkill> und verstehen es, unsere <SoftSkill>Kundschaft kompetent zu beraten</SoftSkill>."
192," Sie können <SoftSkill>vernetzt denken</SoftSkill>, <SoftSkill>selbständig handeln</SoftSkill> und sind <SoftSkill_C>team-</SoftSkill_C> und <SoftSkill>kundenorientiert</SoftSkill>. ->"," Sie können <SoftSkill>vernetzt denken</SoftSkill>, <SoftSkill>selbständig handeln</SoftSkill> und sind <SoftSkill>teamorientiert</SoftSkill> und <SoftSkill>kundenorientiert</SoftSkill>."
193," Sie verstärken unser topmotiviertes Team mit Ihrer <SoftSkill_C>aufgestellten</SoftSkill_C>, <SoftSkill_C>freundlichen</SoftSkill_C> und <SoftSkill>kollegialen Art</SoftSkill>. ->"," Sie verstärken unser topmotiviertes Team mit Ihrer <SoftSkill>aufgestellten Art</SoftSkill>, <SoftSkill>freundlichen Art</SoftSkill> und <SoftSkill>kollegialen Art</SoftSkill>."
194," Bei uns beeindrucken Sie als <SoftSkill>selbstbewusste/r Dienstleister/in</SoftSkill> durch <SoftSkill>Leidenschaft an der Arbeit</SoftSkill>, <SoftSkill>Aufmerksamkeit</SoftSkill>, <SoftSkill_C>guter Kenntnis</SoftSkill_C> und <SoftSkill>hoher Flexibilität</SoftSkill>. ->"," Bei uns beeindrucken Sie als <SoftSkill>selbstbewusste/r Dienstleister/in</SoftSkill> durch <SoftSkill>Leidenschaft an der Arbeit</SoftSkill>, <SoftSkill>Aufmerksamkeit</SoftSkill>, <SoftSkill>guter Kenntnis</SoftSkill> und <SoftSkill>hoher Flexibilität</SoftSkill>."
195,Persönlich zeichnen Sie sich durch eine <SoftSkill_C>selbständige</SoftSkill_C> und <SoftSkill>exakte Arbeitsweise</SoftSkill> aus und haben <SoftSkill>Spass an messtechnischen Aufgaben</SoftSkill>. ->,Persönlich zeichnen Sie sich durch eine <SoftSkill>selbständige Arbeitsweise</SoftSkill> und <SoftSkill>exakte Arbeitsweise</SoftSkill> aus und haben <SoftSkill>Spass an messtechnischen Aufgaben</SoftSkill>.
196,<SoftSkill>Freude an abwechslungsreichen Tätigkeiten</SoftSkill> und <SoftSkill_C>interdisziplinärer Zusammenarbeit</SoftSkill_C> Suchen Sie eine neue Herausforderung? ->,<SoftSkill>Freude an abwechslungsreichen Tätigkeiten</SoftSkill> und <SoftSkill>Freude an interdisziplinärer Zusammenarbeit</SoftSkill> Suchen Sie eine neue Herausforderung?
197," Sie sind eine <SoftSkill_C>ausgeglichene</SoftSkill_C>, <SoftSkill_C>zuverlässige</SoftSkill_C> und <SoftSkill>verschwiegene Persönlichkeit</SoftSkill> und haben eine <SoftSkill>wertfreie Einstellung gegenüber Menschen fremder Kulturen</SoftSkill>. ->"," Sie sind eine <SoftSkill>ausgeglichene Persönlichkeit</SoftSkill>, <SoftSkill>zuverlässige Persönlichkeit</SoftSkill> und <SoftSkill>verschwiegene Persönlichkeit</SoftSkill> und haben eine <SoftSkill>wertfreie Einstellung gegenüber Menschen fremder Kulturen</SoftSkill>."
198," Es sollte ein <SoftSkill>gutes Vorstellungsvermögen</SoftSkill>, eine <SoftSkill>exakte Arbeitsweise</SoftSkill> sowie ein <SoftSkill>grosses Interesse an Mathematik</SoftSkill> und <SoftSkill_C>Physik</SoftSkill_C> vorhanden sein. ->"," Es sollte ein <SoftSkill>gutes Vorstellungsvermögen</SoftSkill>, eine <SoftSkill>exakte Arbeitsweise</SoftSkill> sowie ein <SoftSkill>grosses Interesse an Mathematik</SoftSkill> und <SoftSkill>grosses Interesse an Physik</SoftSkill> vorhanden sein."
199," Die grosse Eigenverantwortung bedingt eine <SoftSkill_C>selbständige</SoftSkill_C>, <SoftSkill_C>zugreifende</SoftSkill_C> und <SoftSkill>ergebnisorientierte Persönlichkeit</SoftSkill> mit <SoftSkill_C>systematischer</SoftSkill_C>, <SoftSkill>strukturierter Vorgehensweise</SoftSkill> und <SoftSkill>flexiblem Handeln</SoftSkill>. ->"," Die grosse Eigenverantwortung bedingt eine <SoftSkill>selbständige Persönlichkeit</SoftSkill>, <SoftSkill>zugreifende Persönlichkeit</SoftSkill> und <SoftSkill>ergebnisorientierte Persönlichkeit</SoftSkill> mit <SoftSkill>systematischer Vorgehensweise</SoftSkill>, <SoftSkill>strukturierter Vorgehensweise</SoftSkill> und <SoftSkill>flexiblem Handeln</SoftSkill>."
200," Sie <SoftSkill>denken unternehmerisch</SoftSkill> und <SoftSkill_C>kundenorientiert</SoftSkill_C>, sind <SoftSkill>entscheidungsfreudig</SoftSkill> und überzeugen durch <SoftSkill>Selbständigkeit</SoftSkill>, <SoftSkill>Belastbarkeit</SoftSkill> und <SoftSkill>Umsetzungsstärke</SoftSkill>. ->"," Sie <SoftSkill>denken unternehmerisch</SoftSkill> und <SoftSkill>denken kundenorientiert</SoftSkill>, sind <SoftSkill>entscheidungsfreudig</SoftSkill> und überzeugen durch <SoftSkill>Selbständigkeit</SoftSkill>, <SoftSkill>Belastbarkeit</SoftSkill> und <SoftSkill>Umsetzungsstärke</SoftSkill>."
201," Mit Ihrer <SoftSkill_C>herzlichen</SoftSkill_C>, <SoftSkill>gewinnenden Art</SoftSkill> sorgen Sie als Mitarbeiterin der Selbstbedienungs-Cafeteria für eine angenehme Atmosphäre und eine kompetente Bedienung unserer Mitarbeitenden und Gäste. ->"," Mit Ihrer <SoftSkill>herzlichen Art</SoftSkill>, <SoftSkill>gewinnenden Art</SoftSkill> sorgen Sie als Mitarbeiterin der Selbstbedienungs-Cafeteria für eine angenehme Atmosphäre und eine kompetente Bedienung unserer Mitarbeitenden und Gäste."
202,Mit Ihrer <SoftSkill_C>freundlichen</SoftSkill_C> sowie <SoftSkill>hilfsbereiten Art</SoftSkill> tragen Sie an vorderster Front massgeblich zur Zufriedenheit unserer Kunden bei. ->,Mit Ihrer <SoftSkill>freundlichen Art</SoftSkill> sowie <SoftSkill>hilfsbereiten Art</SoftSkill> tragen Sie an vorderster Front massgeblich zur Zufriedenheit unserer Kunden bei.
203," B, C
<SoftSkill_C>Exakte</SoftSkill_C> und <SoftSkill>systematische Arbeitsweise</SoftSkill>
<SoftSkill>Körperliche Belastbarkeit</SoftSkill>
<SoftSkill_C>Team-</SoftSkill_C> und <SoftSkill>Kommunikationsfähigkeit</SoftSkill>
<SoftSkill>Bereitschaft Pikettdienst zu leisten</SoftSkill> ->"," B, C
<SoftSkill>Exakte Arbeitsweise</SoftSkill> und <SoftSkill>systematische Arbeitsweise</SoftSkill>
<SoftSkill>Körperliche Belastbarkeit</SoftSkill>
<SoftSkill>Teamfähigkeit</SoftSkill> und <SoftSkill>Kommunikationsfähigkeit</SoftSkill>
<SoftSkill>Bereitschaft Pikettdienst zu leisten</SoftSkill>"
204," Abgeschlossene KV oder vergleichbare Ausbildung
Erfahrung im Bereich Finanzbuchhaltung, Debitorenwesen, Mehrwertsteuerabrechnung
<SoftSkill>Zuverlässigkeit</SoftSkill> sowie <SoftSkill_C>systematische</SoftSkill_C> und <SoftSkill>selbständige Arbeitsweise</SoftSkill>
Gute Deutsch- und Englischkenntnisse
<SoftSkill>Teamgeist</SoftSkill> ->"," Abgeschlossene KV oder vergleichbare Ausbildung
Erfahrung im Bereich Finanzbuchhaltung, Debitorenwesen, Mehrwertsteuerabrechnung
<SoftSkill>Zuverlässigkeit</SoftSkill> sowie <SoftSkill>systematische Arbeitsweise</SoftSkill> und <SoftSkill>selbständige Arbeitsweise</SoftSkill>
Gute Deutsch- und Englischkenntnisse
<SoftSkill>Teamgeist</SoftSkill>"
205,Sie haben <SoftSkill>Freude am Umgang mit recyclierbaren Wertstoffen</SoftSkill> und am <SoftSkill_C>Umweltschutz</SoftSkill_C>. ->,Sie haben <SoftSkill>Freude am Umgang mit recyclierbaren Wertstoffen</SoftSkill> und <SoftSkill>Freude am Umweltschutz</SoftSkill>.
206,Sie sind <SoftSkill_C>offen</SoftSkill_C> und <SoftSkill>interessiert an neuen Herausforderungen</SoftSkill>. ->,Sie sind <SoftSkill>offen an neuen Herausforderungen</SoftSkill> und <SoftSkill>interessiert an neuen Herausforderungen</SoftSkill>.
207,Sie <SoftSkill>arbeiten sowohl eigenverantwortlich</SoftSkill> und <SoftSkill_C>selbstständig</SoftSkill_C> als auch <SoftSkill_C>gemeinsam im Team</SoftSkill_C>. ->,Sie <SoftSkill>arbeiten sowohl eigenverantwortlich</SoftSkill> und <SoftSkill>arbeiten sowohl selbstständig</SoftSkill> als auch <SoftSkill>arbeiten gemeinsam im Team</SoftSkill>.
208,•  <SoftSkill_C>qualitäts-</SoftSkill_C> und <SoftSkill>ergebnisorientiert</SoftSkill> ->,<SoftSkill>qualitätsorientiert</SoftSkill> und <SoftSkill>ergebnisorientiert</SoftSkill>
209," Sie
sind eine <SoftSkill_C>profilierte</SoftSkill_C> und <SoftSkill>engagierte Führungspersönlichkeit</SoftSkill>, die sich durch
<SoftSkill_C>hohe Sozial</SoftSkill_C>
-
und <SoftSkill>Methodenkompetenz</SoftSkill>
en
auszeichnet. ->"," Sie sind eine <SoftSkill>profilierte Führungspersönlichkeit</SoftSkill> und <SoftSkill>engagierte Führungspersönlichkeit</SoftSkill>, die sich durch <SoftSkill>hohe Sozialkompetenz</SoftSkill>
sowie <SoftSkill>Methodenkompetenz</SoftSkill>
en
auszeichnet."
210," Ihre
<SoftSkill>Freude an Zahlen</SoftSkill> und an <SoftSkill_C>Verkaufstätigkeiten</SoftSkill_C> machen
Sie zum <SoftSkill_C>versierten</SoftSkill_C>, <SoftSkill>kundenorientierten Machertyp</SoftSkill>. ->"," Ihre <SoftSkill>Freude an Zahlen</SoftSkill> und <SoftSkill>Freude an Verkaufstätigkeiten</SoftSkill> machen Sie zum <SoftSkill>versierten Machertyp</SoftSkill>, <SoftSkill>kundenorientierten Machertyp</SoftSkill>."
211,Wir suchen eine <SoftSkill_C>engagierte</SoftSkill_C> und <SoftSkill>belastbare Person</SoftSkill> mit <SoftSkill>strategischem Geschick</SoftSkill> und einem besonderen Interesse an Finanzflüssen und der Analyse quantitativer und statistischer Daten. ->,Wir suchen eine <SoftSkill>engagierte Person</SoftSkill> und <SoftSkill>belastbare Person</SoftSkill> mit <SoftSkill>strategischem Geschick</SoftSkill> und einem besonderen Interesse an Finanzflüssen und der Analyse quantitativer und statistischer Daten.
212," •  <SoftSkill_C>Strukturierte</SoftSkill_C>, <SoftSkill_C>selbständige</SoftSkill_C> und <SoftSkill>akkurate Arbeitsweise</SoftSkill> ->"," • <SoftSkill>Strukturierte Arbeitsweise</SoftSkill>, <SoftSkill>selbständige Arbeitsweise</SoftSkill> und <SoftSkill>akkurate Arbeitsweise</SoftSkill>"
213,•  <SoftSkill_C>Guter Geruchs-</SoftSkill_C> und <SoftSkill>Geschmackssinn</SoftSkill> ->,<SoftSkill>Guter Geruchssinn</SoftSkill> und <SoftSkill>guter Geschmackssinn</SoftSkill>
214,•  <SoftSkill>Hohe Leistungsbereitschaft</SoftSkill> sowie eine <SoftSkill_C>hohe Durchsetzungs-</SoftSkill_C> und <SoftSkill>Entscheidungsfähigkeit</SoftSkill> ->,• <SoftSkill>Hohe Leistungsbereitschaft</SoftSkill> sowie eine <SoftSkill>hohe Durchsetzungsfähigkeit</SoftSkill> und <SoftSkill>Entscheidungsfähigkeit</SoftSkill>
215," Das <SoftSkill_C>selbständige</SoftSkill_C>, <SoftSkill>eigenverantwortliche Arbeiten</SoftSkill> sowie die <SoftSkill>Mitarbeiterführung bereiten Ihnen Freude</SoftSkill>. ->"," Das <SoftSkill>selbständige Arbeiten</SoftSkill>, <SoftSkill>eigenverantwortliche Arbeiten</SoftSkill> sowie die <SoftSkill>Mitarbeiterführung bereiten Ihnen Freude</SoftSkill>."
216," <SoftSkill>strukturierte Vorgehensweise</SoftSkill>, <SoftSkill_C>gut ausgeprägtes analytisches</SoftSkill_C> und <SoftSkill>vernetztes Denken</SoftSkill> sowie Kompetenz im Umgang mit Herstellungsunterlagen und Schemas von komplexe Systemen. ->"," <SoftSkill>strukturierte Vorgehensweise</SoftSkill>, <SoftSkill>gut ausgeprägtes analytisches Denken</SoftSkill> und <SoftSkill>vernetztes Denken</SoftSkill> sowie Kompetenz im Umgang mit Herstellungsunterlagen und Schemas von komplexe Systemen."
217,Sie überzeugen mit Ihrer <SoftSkill_C>strukturierten</SoftSkill_C> und <SoftSkill>selbständigen Arbeitsweise</SoftSkill> und zeichnen sich durch <SoftSkill>Flexibilität</SoftSkill> und <SoftSkill>Engagement</SoftSkill> aus. ->,Sie überzeugen mit Ihrer <SoftSkill>strukturierten Arbeitsweise</SoftSkill> und <SoftSkill>selbständigen Arbeitsweise</SoftSkill> und zeichnen sich durch <SoftSkill>Flexibilität</SoftSkill> und <SoftSkill>Engagement</SoftSkill> aus.
218,<SoftSkill_C>Denken</SoftSkill_C> und <SoftSkill>handeln dienstleistungsorientiert</SoftSkill>. ->,<SoftSkill>Denken dienstleistungsorientiert</SoftSkill> und <SoftSkill>handeln dienstleistungsorientiert</SoftSkill>.
219," Du bist <SoftSkill>begeistert von starken Bildern</SoftSkill>, <SoftSkill_C>Emotionen</SoftSkill_C> und <SoftSkill_C>kreativen Ideen</SoftSkill_C>? ->"," Du bist <SoftSkill>begeistert von starken Bildern</SoftSkill>, <SoftSkill>begeistert von Emotionen</SoftSkill> und <SoftSkill>begeistert von kreativen Ideen</SoftSkill>?"
220," <SoftSkill_C>Analytisches</SoftSkill_C>, <SoftSkill>konzeptionelles Denken</SoftSkill> sowie <SoftSkill>sehr gute Kommunikationseigenschaften</SoftSkill> gehören zu Ihren Kernkompetenzen. ->"," <SoftSkill>Analytisches Denken</SoftSkill>, <SoftSkill>konzeptionelles Denken</SoftSkill> sowie <SoftSkill>sehr gute Kommunikationseigenschaften</SoftSkill> gehören zu Ihren Kernkompetenzen."
221," Du beschreibst dich selbst als eine <SoftSkill_C>kommunikative</SoftSkill_C>, <SoftSkill_C>zuverlässige</SoftSkill_C> und <SoftSkill>positive Persönlichkeit</SoftSkill>, dann bist du bei uns richtig. ->"," Du beschreibst dich selbst als eine <SoftSkill>kommunikative Persönlichkeit</SoftSkill>, <SoftSkill>zuverlässige Persönlichkeit</SoftSkill> und <SoftSkill>positive Persönlichkeit</SoftSkill>, dann bist du bei uns richtig."
222," Ihr <SoftSkill>unter-nehmerisches Denken</SoftSkill> und <SoftSkill_C>Handeln</SoftSkill_C>, Ihre <SoftSkill>Kommunikationskompetenz</SoftSkill>, Ihr <SoftSkill>Veränderungswille</SoftSkill> und Ihre <SoftSkill>lösungsorientierte Arbeitsweise</SoftSkill> sind wichtige Voraussetzungen für diese Aufgabe. ->"," Ihr <SoftSkill>unternehmerisches Denken</SoftSkill> und <SoftSkill>unternehmerisches Handeln</SoftSkill>, Ihre <SoftSkill>Kommunikationskompetenz</SoftSkill>, Ihr <SoftSkill>Veränderungswille</SoftSkill> und Ihre <SoftSkill>lösungsorientierte Arbeitsweise</SoftSkill> sind wichtige Voraussetzungen für diese Aufgabe."
223,•  <SoftSkill_C>Hohe Fach-</SoftSkill_C> und <SoftSkill>Sozialkompetenz</SoftSkill> ->,<SoftSkill>Hohe Fachkompetenz</SoftSkill> und <SoftSkill>Hohe Sozialkompetenz</SoftSkill>
224,Sie <SoftSkill>arbeiten je nach Aufgabe gerne selbständig</SoftSkill> als auch im <SoftSkill_C>Team</SoftSkill_C> und verfügen über ein <SoftSkill>hohes Qualitätsbewusstsein</SoftSkill>. ->,Sie <SoftSkill>arbeiten je nach Aufgabe gerne selbständig</SoftSkill> als auch im <SoftSkill>Team</SoftSkill> und verfügen über ein <SoftSkill>hohes Qualitätsbewusstsein</SoftSkill>.
225," Bereitschaft für Tageseinsätze
Gute Deutschkenntnisse
<SoftSkill>Körperlich gesund</SoftSkill> und <SoftSkill>belastbar</SoftSkill>
<SoftSkill_C>Zuverlässige</SoftSkill_C>, <SoftSkill_C>schnelle</SoftSkill_C> und <SoftSkill>sorgfältige Arbeitsweise</SoftSkill> ->"," Bereitschaft für Tageseinsätze
Gute Deutschkenntnisse
<SoftSkill>Körperlich gesund</SoftSkill> und <SoftSkill>belastbar</SoftSkill>
<SoftSkill>Zuverlässige Arbeitsweise</SoftSkill>, <SoftSkill>schnelle Arbeitsweise</SoftSkill> und <SoftSkill>sorgfältige Arbeitsweise</SoftSkill>"
226,Haben Sie sowohl <SoftSkill>Freude an der umfassenden Beratung</SoftSkill> und Betreuung von Privat- und Gewerbekunden als auch an <SoftSkill_C>Führungsaufgaben</SoftSkill_C>? ->,Haben Sie sowohl <SoftSkill>Freude an der umfassenden Beratung</SoftSkill> und Betreuung von Privat- und Gewerbekunden als auch <SoftSkill>Freude an Führungsaufgaben</SoftSkill>?
227," Sie sind ein <SoftSkill_C>unternehmerisch denkender</SoftSkill_C>, <SoftSkill_C>lösungs-</SoftSkill_C> und <SoftSkill>leistungsorientierter Macher</SoftSkill>. ->"," Sie sind ein <SoftSkill>unternehmerisch denkender Macher</SoftSkill>, <SoftSkill>lösungsorientierter Macher</SoftSkill> und <SoftSkill>leistungsorientierter Macher</SoftSkill>."
228," Als <SoftSkill_C>kommunikationsstarke</SoftSkill_C> und <SoftSkill>pragmatische Persönlichkeit</SoftSkill> beweisen Sie eine
<SoftSkill>ausgeprägte Kundenorientierung</SoftSkill>. ->",Als <SoftSkill>kommunikationsstarke Persönlichkeit</SoftSkill> und <SoftSkill>pragmatische Persönlichkeit</SoftSkill> beweisen Sie eine <SoftSkill>ausgeprägte Kundenorientierung</SoftSkill>.
229," Sie sind eine <SoftSkill_C>initiative</SoftSkill_C> und <SoftSkill>kommunikative Person</SoftSkill>, die <SoftSkill>gern im Team an wissenschaftlichen Fragestellungen arbeitet</SoftSkill> und <SoftSkill>an deren Anwendung in der Praxis interessiert ist</SoftSkill>. ->"," Sie sind eine <SoftSkill>initiative Person</SoftSkill> und <SoftSkill>kommunikative Person</SoftSkill>, die <SoftSkill>gern im Team an wissenschaftlichen Fragestellungen arbeitet</SoftSkill> und <SoftSkill>an deren Anwendung in der Praxis interessiert ist</SoftSkill>."
230,•  <SoftSkill_C>Selbständige</SoftSkill_C> und <SoftSkill>speditive Arbeitsweise</SoftSkill> ->,<SoftSkill>Selbständige Arbeitsweise</SoftSkill> und <SoftSkill>speditive Arbeitsweise</SoftSkill>
231," Sie sind eine <SoftSkill_C>freundliche</SoftSkill_C>, <SoftSkill_C>aufgestellte</SoftSkill_C> und <SoftSkill>kontaktfreudige Person</SoftSkill>, welche <SoftSkill>sehr zuverlässig</SoftSkill> und <SoftSkill>flexibel ist</SoftSkill>. ->"," Sie sind eine <SoftSkill>freundliche Person</SoftSkill>, <SoftSkill>aufgestellte Person</SoftSkill> und <SoftSkill>kontaktfreudige Person</SoftSkill>, welche <SoftSkill>sehr zuverlässig</SoftSkill> und <SoftSkill>flexibel ist</SoftSkill>."
232," Ihre <SoftSkill_C>technischen</SoftSkill_C>, <SoftSkill_C>wirtschaftlichen</SoftSkill_C> und <SoftSkill>sozialen Fähigkeiten</SoftSkill> können Sie in abwechslungsreichen Projekten weiter entwickeln. ->"," Ihre <SoftSkill>technischen Fähigkeiten</SoftSkill>, <SoftSkill>wirtschaftlichen Fähigkeiten</SoftSkill> und <SoftSkill>sozialen Fähigkeiten</SoftSkill> können Sie in abwechslungsreichen Projekten weiter entwickeln."
233,•  <SoftSkill>Sinn für Sauberkeit</SoftSkill> und <SoftSkill_C>Ordnung</SoftSkill_C> ->,<SoftSkill>Sinn für Sauberkeit</SoftSkill> und <SoftSkill>Sinn für Ordnung</SoftSkill>.
234," Sie haben zudem
eine <SoftSkill_C>offene</SoftSkill_C>, <SoftSkill_C>aufbauende</SoftSkill_C> und <SoftSkill>wertschätzende Haltung</SoftSkill>. ->"," Sie haben zudem eine <SoftSkill>offene Haltung</SoftSkill>, <SoftSkill>aufbauende Haltung</SoftSkill> und <SoftSkill>wertschätzende Haltung</SoftSkill>."
235," •  <SoftSkill>Kreativität</SoftSkill> sowie <SoftSkill_C>kundenorientiertes</SoftSkill_C> und
<SoftSkill>wirtschaftliches Denken</SoftSkill> ->",<SoftSkill>Kreativität</SoftSkill> sowie <SoftSkill>kundenorientiertes Denken</SoftSkill> und <SoftSkill>wirtschaftliches Denken</SoftSkill>
236,•  <SoftSkill_C>Selbständiges</SoftSkill_C> und <SoftSkill>teamorientiertes Arbeiten</SoftSkill> ->,<SoftSkill>Selbständiges Arbeiten</SoftSkill> und <SoftSkill>teamorientiertes Arbeiten</SoftSkill>
237," Zum Beruf gehören auch ein <SoftSkill_C>grosses
</SoftSkill_C><SoftSkill_C>Einfühlungs-</SoftSkill_C> und <SoftSkill>Beobachtungsvermögen</SoftSkill> ebenso wie die <SoftSkill>Bereitschaft das eigene Handeln
zu reflektieren</SoftSkill> und ein <SoftSkill>ausgeprägtes Verantwortungsbewusstsein</SoftSkill>. ->",Zum Beruf gehören auch ein <SoftSkill>grosses Einfühlungsvermögen</SoftSkill> und <SoftSkill>grosses Beobachtungsvermögen</SoftSkill> ebenso wie die <SoftSkill>Bereitschaft das eigene Handeln zu reflektieren</SoftSkill> und ein <SoftSkill>ausgeprägtes Verantwortungsbewusstsein</SoftSkill>.
238,Dank Ihrer <SoftSkill_C>strukturierten</SoftSkill_C> und <SoftSkill>gut dokumentierten Arbeitsweise</SoftSkill> <SoftSkill>verlieren Sie auch in hektischen Zeiten nie den Überblick</SoftSkill>. ->,Dank Ihrer <SoftSkill>strukturierten Arbeitsweise</SoftSkill> und <SoftSkill>gut dokumentierten Arbeitsweise</SoftSkill> <SoftSkill>verlieren Sie auch in hektischen Zeiten nie den Überblick</SoftSkill>.
239," Guter Sekundar- oder Bezirksschulabschluss
<SoftSkill>Technisches Verständnis</SoftSkill>
Interesse an Elektrotechnik und <SoftSkill_C>Mathematik</SoftSkill_C>
<SoftSkill>Verständnis für abstrakte Zusammenhänge</SoftSkill>
<SoftSkill>Gutes handwerkliches Geschick</SoftSkill>
<SoftSkill>Viel Geduld</SoftSkill> und <SoftSkill>grosse Ausdauer</SoftSkill> ->"," Guter Sekundar- oder Bezirksschulabschluss
<SoftSkill>Technisches Verständnis</SoftSkill>
Interesse an Elektrotechnik und <SoftSkill>Interesse an Mathematik</SoftSkill>
<SoftSkill>Verständnis für abstrakte Zusammenhänge</SoftSkill>
<SoftSkill>Gutes handwerkliches Geschick</SoftSkill>
<SoftSkill>Viel Geduld</SoftSkill> und <SoftSkill>grosse Ausdauer</SoftSkill>"
240," Du <SoftSkill_C>denkst</SoftSkill_C> und <SoftSkill>handelst kundenorientiert</SoftSkill>, bist zudem eine <SoftSkill>starke Persönlichkeit</SoftSkill>, verfügst über eine <SoftSkill>schnelle Auffassungsgabe</SoftSkill> und ein <SoftSkill>hohes Verantwortungsbewusstsein</SoftSkill>. ->"," Du <SoftSkill>denkst kundenorientiert</SoftSkill> und <SoftSkill>handelst kundenorientiert</SoftSkill>, bist zudem eine <SoftSkill>starke Persönlichkeit</SoftSkill>, verfügst über eine <SoftSkill>schnelle Auffassungsgabe</SoftSkill> und ein <SoftSkill>hohes Verantwortungsbewusstsein</SoftSkill>."
241," Sie sind eine <SoftSkill_C>belastbare</SoftSkill_C>, <SoftSkill_C>motivierte</SoftSkill_C> und <SoftSkill>aufgestellte Persönlichkeit</SoftSkill>, die eine  Ausbildung im Bereich Réception absolviert und bereits Berufserfahrung gesammelt hat. ->"," Sie sind eine <SoftSkill>belastbare Persönlichkeit</SoftSkill>, <SoftSkill>motivierte Persönlichkeit</SoftSkill> und <SoftSkill>aufgestellte Persönlichkeit</SoftSkill>, die eine  Ausbildung im Bereich Réception absolviert und bereits Berufserfahrung gesammelt hat."
242,•  <SoftSkill_C>Verkauf</SoftSkill_C> und <SoftSkill>Beratung ist Ihre Leidenschaft</SoftSkill> und Stärke ->,• <SoftSkill>Verkauf ist Ihre Leidenschaft</SoftSkill> und <SoftSkill>Beratung ist Ihre Leidenschaft</SoftSkill> und Stärke
243," Zu Ihren Stärken zählen Ihre <SoftSkill_C>einfühlsame</SoftSkill_C>, <SoftSkill_C>kompetente</SoftSkill_C> und <SoftSkill>individuelle Kundenbetreuung</SoftSkill> und die <SoftSkill>Leidenschaft am Beruf</SoftSkill>. ->"," Zu Ihren Stärken zählen Ihre <SoftSkill>einfühlsame Kundenbetreuung</SoftSkill>, <SoftSkill>kompetente Kundenbetreuung</SoftSkill> und <SoftSkill>individuelle Kundenbetreuung</SoftSkill> und die <SoftSkill>Leidenschaft am Beruf</SoftSkill>."
