,Index,input,output,Problem type,valids
,175,"•  <SoftSkill>ausgeprägte Fähigkeiten in Organisation</SoftSkill> und <SoftSkill_C>Administration</SoftSkill_C>
Wir bieten:","<SoftSkill>ausgeprägte Fähigkeiten in Organisation</SoftSkill> und <SoftSkill>ausgeprägte Fähigkeiten in Administration</SoftSkill>
Wir bieten:",MWA,0
,176,Dabei <SoftSkill>arbeiten Sie selbständig</SoftSkill> und <SoftSkill_C>verantwortungsbewusst</SoftSkill_C>.,Dabei <SoftSkill>arbeiten Sie selbständig</SoftSkill> und <SoftSkill>arbeiten Sie verantwortungsbewusst</SoftSkill>.,MWA,0
,177,•  <SoftSkill_C>kommunikative</SoftSkill_C> und <SoftSkill>motivierende Persönlichkeit</SoftSkill>,•  <SoftSkill>kommunikative Persönlichkeit</SoftSkill> und <SoftSkill>motivierende Persönlichkeit</SoftSkill>,OWA,0
,178,Als <SoftSkill_C>belastbare</SoftSkill_C> und <SoftSkill>aufgeschlossene Persönlichkeit</SoftSkill> verfügen Sie über ein <SoftSkill>kundenorientiertes Auftreten</SoftSkill> und sind sich <SoftSkill>selbstständiges Arbeiten gewohnt</SoftSkill>.,"Als <SoftSkill>belastbare Persönlichkeit</SoftSkill> und <SoftSkill>aufgeschlossene Persönlichkeit</SoftSkill> verfügen Sie über ein <SoftSkill>kundenorientiertes Auftreten</SoftSkill> und sind sich <SoftSkill>selbstständiges Arbeitens gewohnt</SoftSkill>.""",OWA,0
,179,Als <SoftSkill_C>analytischer</SoftSkill_C> und <SoftSkill>flexibler Teamplayer</SoftSkill> <SoftSkill>behalten Sie auch in hektischen Situationen einen kühlen Kopf</SoftSkill> und zeichnen sich durch eine gesunde Portion <SoftSkill>Eigeninitiative</SoftSkill> aus.,Als <SoftSkill>analytischer Teamplayer</SoftSkill> und <SoftSkill>flexibler Teamplayer</SoftSkill> <SoftSkill>behalten Sie auch in hektischen Situationen einen kühlen Kopf</SoftSkill> und zeichnen sich durch eine gesunde Portion <SoftSkill>Eigeninitiative</SoftSkill> aus.,OWA,0
,180,•  <SoftSkill_C>Operatives</SoftSkill_C> und <SoftSkill>strategisches Denken</SoftSkill>,<SoftSkill>Operatives Denken</SoftSkill> und <SoftSkill>strategisches Denken</SoftSkill>,OWA,0
,181,"<SoftSkill_C>Planerische</SoftSkill_C> und <SoftSkill>prozessorientierte Fähigkeiten</SoftSkill>, eine <SoftSkill_C>ganzheitliche</SoftSkill_C>, <SoftSkill_C>konzeptionelle</SoftSkill_C> und <SoftSkill_C>vernetzte Denk-</SoftSkill_C> und <SoftSkill>Handlungsweise</SoftSkill> runden Ihr Profil ab.","<SoftSkill>Planerische Fähigkeiten</SoftSkill> und <SoftSkill>prozessorientierte Fähigkeiten</SoftSkill>, eine <SoftSkill>ganzheitliche Denkweise und Handlungsweise</SoftSkill>, <SoftSkill>konzeptionelle Denkweise und Handlungsweise</SoftSkill> und <SoftSkill>vernetzte Denkweise und Handlungsweise</SoftSkill> runden Ihr Profil ab.",HMDC,0
,182,"Zudem solltest Du <SoftSkill>Freude am Experimentieren</SoftSkill>, <SoftSkill_C>Erforschen</SoftSkill_C> und <SoftSkill_C>Analysieren</SoftSkill_C> mitbringen.","Zudem solltest Du <SoftSkill>Freude am Experimentieren</SoftSkill>, <SoftSkill>Freude am Erforschen</SoftSkill> und <SoftSkill>Freude am Analysieren</SoftSkill> mitbringen.",MC,0
,183,"<SoftSkill>Freude am Umgang mit Milchprodukten</SoftSkill>, <SoftSkill>technisches Verständnis für den Umgang mit unseren computergesteuerten Produktionsanlagen</SoftSkill>, einen <SoftSkill_C>guten Geruchs-</SoftSkill_C> und <SoftSkill>Geschmackssinn</SoftSkill>, <SoftSkill>gutes Hygienebewusstsein</SoftSkill> sowie <SoftSkill>Teamfähigkeit</SoftSkill> sind unabdingbar.","<SoftSkill>Freude am Umgang mit Milchprodukten</SoftSkill>, <SoftSkill>technisches Verständnis für den Umgang mit unseren computergesteuerten Produktionsanlagen</SoftSkill>, einen <SoftSkill>guten Geruchssinn</SoftSkill> und <SoftSkill>guten Geschmackssinn</SoftSkill>, <SoftSkill>gutes Hygienebewusstsein</SoftSkill> sowie <SoftSkill>Teamfähigkeit</SoftSkill> sind unabdingbar.",HOWA,0
,184,Sie <SoftSkill_C>denken</SoftSkill_C> und <SoftSkill>handeln lösungsorientiert</SoftSkill>?,Sie <SoftSkill>denken lösungsorientiert</SoftSkill> und <SoftSkill>handeln lösungsorientiert</SoftSkill>?,OWA,0
,185,"<SoftSkill>begeisterungsfähig</SoftSkill> und <SoftSkill>flexibel</SoftSkill>
<SoftSkill>ehrgeizig</SoftSkill> und <SoftSkill>leistungsorientiert</SoftSkill>
eine <SoftSkill_C>gewinnende</SoftSkill_C> und <SoftSkill>gepflegte Persönlichkeit</SoftSkill>","<SoftSkill>begeisterungsfähig</SoftSkill> und <SoftSkill>flexibel</SoftSkill>
<SoftSkill>ehrgeizig</SoftSkill> und <SoftSkill>leistungsorientiert</SoftSkill>
eine <SoftSkill>gewinnende Persönlichkeit</SoftSkill> und <SoftSkill>gepflegte Persönlichkeit</SoftSkill>",OWA,0
,186," Sie <SoftSkill>können gut planen</SoftSkill>, zeichnen sich durch <SoftSkill_C>hervorragendes analytisches</SoftSkill_C> und <SoftSkill>synthetisches Denken</SoftSkill> aus und <SoftSkill>arbeiten selbstständig</SoftSkill> und <SoftSkill_C>sorgfältig</SoftSkill_C>. ->"," Sie <SoftSkill>können gut planen</SoftSkill>, zeichnen sich durch <SoftSkill>hervorragendes analytisches Denken</SoftSkill> und <SoftSkill>synthetisches Denken</SoftSkill> aus und <SoftSkill>arbeiten selbstständig</SoftSkill> und <SoftSkill>arbeiten sorgfältig</SoftSkill>.",MDC,0
,187," Dank Ihrer <SoftSkill_C>lösungsorientierten</SoftSkill_C> und <SoftSkill>proaktiven Arbeitsweise</SoftSkill> sind Sie <SoftSkill>in der Lage, gezielt Schwerpunkte zu setzen</SoftSkill> und Ihre <SoftSkill>Strategie hinsichtlich einer konkreten Vision zu implementieren</SoftSkill>. ->"," Dank Ihrer <SoftSkill>lösungsorientierten Arbeitsweise</SoftSkill> und <SoftSkill>proaktiven Arbeitsweise</SoftSkill> sind Sie <SoftSkill>in der Lage, gezielt Schwerpunkte zu setzen</SoftSkill> und Ihre <SoftSkill>Strategie hinsichtlich einer konkreten Vision zu implementieren</SoftSkill>.",OWA,0
,188,•  <SoftSkill_C>Analytisches</SoftSkill_C> und <SoftSkill>strategisches Denkvermögen</SoftSkill> ->,<SoftSkill>Analytisches Denkvermögen</SoftSkill> und <SoftSkill>strategisches Denkvermögen</SoftSkill>,OWA,0
,189,Für diese abwechslungsreiche und selbständige Arbeit suchen wir eine Persönlichkeit mit <SoftSkill>guten Umgangsformen</SoftSkill> sowie einer <SoftSkill_C>gepflegten</SoftSkill_C> und <SoftSkill>freundlichen Erscheinung</SoftSkill>. ->,Für diese abwechslungsreiche und selbständige Arbeit suchen wir eine Persönlichkeit mit <SoftSkill>guten Umgangsformen</SoftSkill> sowie einer <SoftSkill>gepflegten Erscheinung</SoftSkill> und <SoftSkill>freundlichen Erscheinung</SoftSkill>.,OWA,0
,190," Ausbildung zum/zur Kaufmann/-frau EFZ oder vergleichbare Ausbildung
<SoftSkill>Freude am Kontakt mit Menschen</SoftSkill>
<SoftSkill_C>Exaktes</SoftSkill_C>, <SoftSkill_C>mitdenkendes</SoftSkill_C> und <SoftSkill>selbständiges Arbeiten</SoftSkill>
<SoftSkill>Stilsicheres Deutsch</SoftSkill>
Gute MS-Office-Kenntnisse
Führerausweis für Personenwagen Kat. ->"," Ausbildung zum/zur Kaufmann/-frau EFZ oder vergleichbare Ausbildung
<SoftSkill>Freude am Kontakt mit Menschen</SoftSkill>
<SoftSkill>Exaktes Arbeiten</SoftSkill>, <SoftSkill>mitdenkendes Arbeiten</SoftSkill> und <SoftSkill>selbständiges Arbeiten</SoftSkill>
<SoftSkill>Stilsicheres Deutsch</SoftSkill>
Gute MS-Office-Kenntnisse
Führerausweis für Personenwagen Kat.",MC,0
,191," Sie sind eine <SoftSkill_C>kunden-</SoftSkill_C> und <SoftSkill>verkaufsorientierte Persönlichkeit</SoftSkill> und verstehen es, unsere <SoftSkill>Kundschaft kompetent zu beraten</SoftSkill>. ->"," Sie sind eine <SoftSkill>kundenorientierte Persönlichkeit</SoftSkill> und <SoftSkill>verkaufsorientierte Persönlichkeit</SoftSkill> und verstehen es, unsere <SoftSkill>Kundschaft kompetent zu beraten</SoftSkill>.",HOWA,0
,192," Sie können <SoftSkill>vernetzt denken</SoftSkill>, <SoftSkill>selbständig handeln</SoftSkill> und sind <SoftSkill_C>team-</SoftSkill_C> und <SoftSkill>kundenorientiert</SoftSkill>. ->"," Sie können <SoftSkill>vernetzt denken</SoftSkill>, <SoftSkill>selbständig handeln</SoftSkill> und sind <SoftSkill>teamorientiert</SoftSkill> und <SoftSkill>kundenorientiert</SoftSkill>.",HOWA,0
,193," Sie verstärken unser topmotiviertes Team mit Ihrer <SoftSkill_C>aufgestellten</SoftSkill_C>, <SoftSkill_C>freundlichen</SoftSkill_C> und <SoftSkill>kollegialen Art</SoftSkill>. ->"," Sie verstärken unser topmotiviertes Team mit Ihrer <SoftSkill>aufgestellten Art</SoftSkill>, <SoftSkill>freundlichen Art</SoftSkill> und <SoftSkill>kollegialen Art</SoftSkill>.",MC,0
,194," Bei uns beeindrucken Sie als <SoftSkill>selbstbewusste/r Dienstleister/in</SoftSkill> durch <SoftSkill>Leidenschaft an der Arbeit</SoftSkill>, <SoftSkill>Aufmerksamkeit</SoftSkill>, <SoftSkill_C>guter Kenntnis</SoftSkill_C> und <SoftSkill>hoher Flexibilität</SoftSkill>. ->"," Bei uns beeindrucken Sie als <SoftSkill>selbstbewusste/r Dienstleister/in</SoftSkill> durch <SoftSkill>Leidenschaft an der Arbeit</SoftSkill>, <SoftSkill>Aufmerksamkeit</SoftSkill>, <SoftSkill>guter Kenntnis</SoftSkill> und <SoftSkill>hoher Flexibilität</SoftSkill>.",NONE,0
,195,Persönlich zeichnen Sie sich durch eine <SoftSkill_C>selbständige</SoftSkill_C> und <SoftSkill>exakte Arbeitsweise</SoftSkill> aus und haben <SoftSkill>Spass an messtechnischen Aufgaben</SoftSkill>. ->,Persönlich zeichnen Sie sich durch eine <SoftSkill>selbständige Arbeitsweise</SoftSkill> und <SoftSkill>exakte Arbeitsweise</SoftSkill> aus und haben <SoftSkill>Spass an messtechnischen Aufgaben</SoftSkill>.,OWA,0
,196,<SoftSkill>Freude an abwechslungsreichen Tätigkeiten</SoftSkill> und <SoftSkill_C>interdisziplinärer Zusammenarbeit</SoftSkill_C> Suchen Sie eine neue Herausforderung? ->,<SoftSkill>Freude an abwechslungsreichen Tätigkeiten</SoftSkill> und <SoftSkill>Freude an interdisziplinärer Zusammenarbeit</SoftSkill> Suchen Sie eine neue Herausforderung?,MWA,0
,197," Sie sind eine <SoftSkill_C>ausgeglichene</SoftSkill_C>, <SoftSkill_C>zuverlässige</SoftSkill_C> und <SoftSkill>verschwiegene Persönlichkeit</SoftSkill> und haben eine <SoftSkill>wertfreie Einstellung gegenüber Menschen fremder Kulturen</SoftSkill>. ->"," Sie sind eine <SoftSkill>ausgeglichene Persönlichkeit</SoftSkill>, <SoftSkill>zuverlässige Persönlichkeit</SoftSkill> und <SoftSkill>verschwiegene Persönlichkeit</SoftSkill> und haben eine <SoftSkill>wertfreie Einstellung gegenüber Menschen fremder Kulturen</SoftSkill>.",MC,0
,198," Es sollte ein <SoftSkill>gutes Vorstellungsvermögen</SoftSkill>, eine <SoftSkill>exakte Arbeitsweise</SoftSkill> sowie ein <SoftSkill>grosses Interesse an Mathematik</SoftSkill> und <SoftSkill_C>Physik</SoftSkill_C> vorhanden sein. ->"," Es sollte ein <SoftSkill>gutes Vorstellungsvermögen</SoftSkill>, eine <SoftSkill>exakte Arbeitsweise</SoftSkill> sowie ein <SoftSkill>grosses Interesse an Mathematik</SoftSkill> und <SoftSkill>grosses Interesse an Physik</SoftSkill> vorhanden sein.",MWA,0
,199," Die grosse Eigenverantwortung bedingt eine <SoftSkill_C>selbständige</SoftSkill_C>, <SoftSkill_C>zugreifende</SoftSkill_C> und <SoftSkill>ergebnisorientierte Persönlichkeit</SoftSkill> mit <SoftSkill_C>systematischer</SoftSkill_C>, <SoftSkill>strukturierter Vorgehensweise</SoftSkill> und <SoftSkill>flexiblem Handeln</SoftSkill>. ->"," Die grosse Eigenverantwortung bedingt eine <SoftSkill>selbständige Persönlichkeit</SoftSkill>, <SoftSkill>zugreifende Persönlichkeit</SoftSkill> und <SoftSkill>ergebnisorientierte Persönlichkeit</SoftSkill> mit <SoftSkill>systematischer Vorgehensweise</SoftSkill>, <SoftSkill>strukturierter Vorgehensweise</SoftSkill> und <SoftSkill>flexiblem Handeln</SoftSkill>.",MDC,0
,200," Sie <SoftSkill>denken unternehmerisch</SoftSkill> und <SoftSkill_C>kundenorientiert</SoftSkill_C>, sind <SoftSkill>entscheidungsfreudig</SoftSkill> und überzeugen durch <SoftSkill>Selbständigkeit</SoftSkill>, <SoftSkill>Belastbarkeit</SoftSkill> und <SoftSkill>Umsetzungsstärke</SoftSkill>. ->"," Sie <SoftSkill>denken unternehmerisch</SoftSkill> und <SoftSkill>denken kundenorientiert</SoftSkill>, sind <SoftSkill>entscheidungsfreudig</SoftSkill> und überzeugen durch <SoftSkill>Selbständigkeit</SoftSkill>, <SoftSkill>Belastbarkeit</SoftSkill> und <SoftSkill>Umsetzungsstärke</SoftSkill>.",MWA,0
,201," Mit Ihrer <SoftSkill_C>herzlichen</SoftSkill_C>, <SoftSkill>gewinnenden Art</SoftSkill> sorgen Sie als Mitarbeiterin der Selbstbedienungs-Cafeteria für eine angenehme Atmosphäre und eine kompetente Bedienung unserer Mitarbeitenden und Gäste. ->"," Mit Ihrer <SoftSkill>herzlichen Art</SoftSkill>, <SoftSkill>gewinnenden Art</SoftSkill> sorgen Sie als Mitarbeiterin der Selbstbedienungs-Cafeteria für eine angenehme Atmosphäre und eine kompetente Bedienung unserer Mitarbeitenden und Gäste.",OWA,0
,202,Mit Ihrer <SoftSkill_C>freundlichen</SoftSkill_C> sowie <SoftSkill>hilfsbereiten Art</SoftSkill> tragen Sie an vorderster Front massgeblich zur Zufriedenheit unserer Kunden bei. ->,Mit Ihrer <SoftSkill>freundlichen Art</SoftSkill> sowie <SoftSkill>hilfsbereiten Art</SoftSkill> tragen Sie an vorderster Front massgeblich zur Zufriedenheit unserer Kunden bei.,OWA,0
,203," B, C
<SoftSkill_C>Exakte</SoftSkill_C> und <SoftSkill>systematische Arbeitsweise</SoftSkill>
<SoftSkill>Körperliche Belastbarkeit</SoftSkill>
<SoftSkill_C>Team-</SoftSkill_C> und <SoftSkill>Kommunikationsfähigkeit</SoftSkill>
<SoftSkill>Bereitschaft Pikettdienst zu leisten</SoftSkill> ->"," B, C
<SoftSkill>Exakte Arbeitsweise</SoftSkill> und <SoftSkill>systematische Arbeitsweise</SoftSkill>
<SoftSkill>Körperliche Belastbarkeit</SoftSkill>
<SoftSkill>Teamfähigkeit</SoftSkill> und <SoftSkill>Kommunikationsfähigkeit</SoftSkill>
<SoftSkill>Bereitschaft Pikettdienst zu leisten</SoftSkill>",HMDC,0
,204," Abgeschlossene KV oder vergleichbare Ausbildung
Erfahrung im Bereich Finanzbuchhaltung, Debitorenwesen, Mehrwertsteuerabrechnung
<SoftSkill>Zuverlässigkeit</SoftSkill> sowie <SoftSkill_C>systematische</SoftSkill_C> und <SoftSkill>selbständige Arbeitsweise</SoftSkill>
Gute Deutsch- und Englischkenntnisse
<SoftSkill>Teamgeist</SoftSkill> ->"," Abgeschlossene KV oder vergleichbare Ausbildung
Erfahrung im Bereich Finanzbuchhaltung, Debitorenwesen, Mehrwertsteuerabrechnung
<SoftSkill>Zuverlässigkeit</SoftSkill> sowie <SoftSkill>systematische Arbeitsweise</SoftSkill> und <SoftSkill>selbständige Arbeitsweise</SoftSkill>
Gute Deutsch- und Englischkenntnisse
<SoftSkill>Teamgeist</SoftSkill>",OWA,0
,205,Sie haben <SoftSkill>Freude am Umgang mit recyclierbaren Wertstoffen</SoftSkill> und am <SoftSkill_C>Umweltschutz</SoftSkill_C>. ->,Sie haben <SoftSkill>Freude am Umgang mit recyclierbaren Wertstoffen</SoftSkill> und <SoftSkill>Freude am Umweltschutz</SoftSkill>.,MWA,0
,206,Sie sind <SoftSkill_C>offen</SoftSkill_C> und <SoftSkill>interessiert an neuen Herausforderungen</SoftSkill>. ->,Sie sind <SoftSkill>offen an neuen Herausforderungen</SoftSkill> und <SoftSkill>interessiert an neuen Herausforderungen</SoftSkill>.,MWA,0
,207,Sie <SoftSkill>arbeiten sowohl eigenverantwortlich</SoftSkill> und <SoftSkill_C>selbstständig</SoftSkill_C> als auch <SoftSkill_C>gemeinsam im Team</SoftSkill_C>. ->,Sie <SoftSkill>arbeiten sowohl eigenverantwortlich</SoftSkill> und <SoftSkill>arbeiten sowohl selbstständig</SoftSkill> als auch <SoftSkill>arbeiten gemeinsam im Team</SoftSkill>.,MDC,0
,208,•  <SoftSkill_C>qualitäts-</SoftSkill_C> und <SoftSkill>ergebnisorientiert</SoftSkill> ->,<SoftSkill>qualitätsorientiert</SoftSkill> und <SoftSkill>ergebnisorientiert</SoftSkill>,OWA,0
,209," Sie
sind eine <SoftSkill_C>profilierte</SoftSkill_C> und <SoftSkill>engagierte Führungspersönlichkeit</SoftSkill>, die sich durch
<SoftSkill_C>hohe Sozial</SoftSkill_C>
-
und <SoftSkill>Methodenkompetenz</SoftSkill>
en
auszeichnet. ->"," Sie sind eine <SoftSkill>profilierte Führungspersönlichkeit</SoftSkill> und <SoftSkill>engagierte Führungspersönlichkeit</SoftSkill>, die sich durch <SoftSkill>hohe Sozialkompetenz</SoftSkill>
sowie <SoftSkill>Methodenkompetenz</SoftSkill>
en
auszeichnet.",HMDC,0
,210," Ihre
<SoftSkill>Freude an Zahlen</SoftSkill> und an <SoftSkill_C>Verkaufstätigkeiten</SoftSkill_C> machen
Sie zum <SoftSkill_C>versierten</SoftSkill_C>, <SoftSkill>kundenorientierten Machertyp</SoftSkill>. ->"," Ihre <SoftSkill>Freude an Zahlen</SoftSkill> und <SoftSkill>Freude an Verkaufstätigkeiten</SoftSkill> machen Sie zum <SoftSkill>versierten Machertyp</SoftSkill>, <SoftSkill>kundenorientierten Machertyp</SoftSkill>.",MDC,0
,211,Wir suchen eine <SoftSkill_C>engagierte</SoftSkill_C> und <SoftSkill>belastbare Person</SoftSkill> mit <SoftSkill>strategischem Geschick</SoftSkill> und einem besonderen Interesse an Finanzflüssen und der Analyse quantitativer und statistischer Daten. ->,Wir suchen eine <SoftSkill>engagierte Person</SoftSkill> und <SoftSkill>belastbare Person</SoftSkill> mit <SoftSkill>strategischem Geschick</SoftSkill> und einem besonderen Interesse an Finanzflüssen und der Analyse quantitativer und statistischer Daten.,OWA,0
,212," •  <SoftSkill_C>Strukturierte</SoftSkill_C>, <SoftSkill_C>selbständige</SoftSkill_C> und <SoftSkill>akkurate Arbeitsweise</SoftSkill> ->"," • <SoftSkill>Strukturierte Arbeitsweise</SoftSkill>, <SoftSkill>selbständige Arbeitsweise</SoftSkill> und <SoftSkill>akkurate Arbeitsweise</SoftSkill>",MC,0
,213,•  <SoftSkill_C>Guter Geruchs-</SoftSkill_C> und <SoftSkill>Geschmackssinn</SoftSkill> ->,<SoftSkill>Guter Geruchssinn</SoftSkill> und <SoftSkill>guter Geschmackssinn</SoftSkill>,HOWA,0
,214,•  <SoftSkill>Hohe Leistungsbereitschaft</SoftSkill> sowie eine <SoftSkill_C>hohe Durchsetzungs-</SoftSkill_C> und <SoftSkill>Entscheidungsfähigkeit</SoftSkill> ->,• <SoftSkill>Hohe Leistungsbereitschaft</SoftSkill> sowie eine <SoftSkill>hohe Durchsetzungsfähigkeit</SoftSkill> und <SoftSkill>Entscheidungsfähigkeit</SoftSkill>,HOWA,0
,215," Das <SoftSkill_C>selbständige</SoftSkill_C>, <SoftSkill>eigenverantwortliche Arbeiten</SoftSkill> sowie die <SoftSkill>Mitarbeiterführung bereiten Ihnen Freude</SoftSkill>. ->"," Das <SoftSkill>selbständige Arbeiten</SoftSkill>, <SoftSkill>eigenverantwortliche Arbeiten</SoftSkill> sowie die <SoftSkill>Mitarbeiterführung bereiten Ihnen Freude</SoftSkill>.",OWA,0
,216," <SoftSkill>strukturierte Vorgehensweise</SoftSkill>, <SoftSkill_C>gut ausgeprägtes analytisches</SoftSkill_C> und <SoftSkill>vernetztes Denken</SoftSkill> sowie Kompetenz im Umgang mit Herstellungsunterlagen und Schemas von komplexe Systemen. ->"," <SoftSkill>strukturierte Vorgehensweise</SoftSkill>, <SoftSkill>gut ausgeprägtes analytisches Denken</SoftSkill> und <SoftSkill>vernetztes Denken</SoftSkill> sowie Kompetenz im Umgang mit Herstellungsunterlagen und Schemas von komplexe Systemen.",NONE,0
,217,Sie überzeugen mit Ihrer <SoftSkill_C>strukturierten</SoftSkill_C> und <SoftSkill>selbständigen Arbeitsweise</SoftSkill> und zeichnen sich durch <SoftSkill>Flexibilität</SoftSkill> und <SoftSkill>Engagement</SoftSkill> aus. ->,Sie überzeugen mit Ihrer <SoftSkill>strukturierten Arbeitsweise</SoftSkill> und <SoftSkill>selbständigen Arbeitsweise</SoftSkill> und zeichnen sich durch <SoftSkill>Flexibilität</SoftSkill> und <SoftSkill>Engagement</SoftSkill> aus.,OWA,0
,218,<SoftSkill_C>Denken</SoftSkill_C> und <SoftSkill>handeln dienstleistungsorientiert</SoftSkill>. ->,<SoftSkill>Denken dienstleistungsorientiert</SoftSkill> und <SoftSkill>handeln dienstleistungsorientiert</SoftSkill>.,OWA,0
,219," Du bist <SoftSkill>begeistert von starken Bildern</SoftSkill>, <SoftSkill_C>Emotionen</SoftSkill_C> und <SoftSkill_C>kreativen Ideen</SoftSkill_C>? ->"," Du bist <SoftSkill>begeistert von starken Bildern</SoftSkill>, <SoftSkill>begeistert von Emotionen</SoftSkill> und <SoftSkill>begeistert von kreativen Ideen</SoftSkill>?",MWA,0
,220," <SoftSkill_C>Analytisches</SoftSkill_C>, <SoftSkill>konzeptionelles Denken</SoftSkill> sowie <SoftSkill>sehr gute Kommunikationseigenschaften</SoftSkill> gehören zu Ihren Kernkompetenzen. ->"," <SoftSkill>Analytisches Denken</SoftSkill>, <SoftSkill>konzeptionelles Denken</SoftSkill> sowie <SoftSkill>sehr gute Kommunikationseigenschaften</SoftSkill> gehören zu Ihren Kernkompetenzen.",OWA,0
,221," Du beschreibst dich selbst als eine <SoftSkill_C>kommunikative</SoftSkill_C>, <SoftSkill_C>zuverlässige</SoftSkill_C> und <SoftSkill>positive Persönlichkeit</SoftSkill>, dann bist du bei uns richtig. ->"," Du beschreibst dich selbst als eine <SoftSkill>kommunikative Persönlichkeit</SoftSkill>, <SoftSkill>zuverlässige Persönlichkeit</SoftSkill> und <SoftSkill>positive Persönlichkeit</SoftSkill>, dann bist du bei uns richtig.",MC,0
,222," Ihr <SoftSkill>unter-nehmerisches Denken</SoftSkill> und <SoftSkill_C>Handeln</SoftSkill_C>, Ihre <SoftSkill>Kommunikationskompetenz</SoftSkill>, Ihr <SoftSkill>Veränderungswille</SoftSkill> und Ihre <SoftSkill>lösungsorientierte Arbeitsweise</SoftSkill> sind wichtige Voraussetzungen für diese Aufgabe. ->"," Ihr <SoftSkill>unternehmerisches Denken</SoftSkill> und <SoftSkill>unternehmerisches Handeln</SoftSkill>, Ihre <SoftSkill>Kommunikationskompetenz</SoftSkill>, Ihr <SoftSkill>Veränderungswille</SoftSkill> und Ihre <SoftSkill>lösungsorientierte Arbeitsweise</SoftSkill> sind wichtige Voraussetzungen für diese Aufgabe.",OWA,0
,223,•  <SoftSkill_C>Hohe Fach-</SoftSkill_C> und <SoftSkill>Sozialkompetenz</SoftSkill> ->,<SoftSkill>Hohe Fachkompetenz</SoftSkill> und <SoftSkill>Hohe Sozialkompetenz</SoftSkill>,HOWA,0
,224,Sie <SoftSkill>arbeiten je nach Aufgabe gerne selbständig</SoftSkill> als auch im <SoftSkill_C>Team</SoftSkill_C> und verfügen über ein <SoftSkill>hohes Qualitätsbewusstsein</SoftSkill>. ->,Sie <SoftSkill>arbeiten je nach Aufgabe gerne selbständig</SoftSkill> als auch im <SoftSkill>Team</SoftSkill> und verfügen über ein <SoftSkill>hohes Qualitätsbewusstsein</SoftSkill>.,NONE,0
,225," Bereitschaft für Tageseinsätze
Gute Deutschkenntnisse
<SoftSkill>Körperlich gesund</SoftSkill> und <SoftSkill>belastbar</SoftSkill>
<SoftSkill_C>Zuverlässige</SoftSkill_C>, <SoftSkill_C>schnelle</SoftSkill_C> und <SoftSkill>sorgfältige Arbeitsweise</SoftSkill> ->"," Bereitschaft für Tageseinsätze
Gute Deutschkenntnisse
<SoftSkill>Körperlich gesund</SoftSkill> und <SoftSkill>belastbar</SoftSkill>
<SoftSkill>Zuverlässige Arbeitsweise</SoftSkill>, <SoftSkill>schnelle Arbeitsweise</SoftSkill> und <SoftSkill>sorgfältige Arbeitsweise</SoftSkill>",MC,0
,226,Haben Sie sowohl <SoftSkill>Freude an der umfassenden Beratung</SoftSkill> und Betreuung von Privat- und Gewerbekunden als auch an <SoftSkill_C>Führungsaufgaben</SoftSkill_C>? ->,Haben Sie sowohl <SoftSkill>Freude an der umfassenden Beratung</SoftSkill> und Betreuung von Privat- und Gewerbekunden als auch <SoftSkill>Freude an Führungsaufgaben</SoftSkill>?,MWA,0
,227," Sie sind ein <SoftSkill_C>unternehmerisch denkender</SoftSkill_C>, <SoftSkill_C>lösungs-</SoftSkill_C> und <SoftSkill>leistungsorientierter Macher</SoftSkill>. ->"," Sie sind ein <SoftSkill>unternehmerisch denkender Macher</SoftSkill>, <SoftSkill>lösungsorientierter Macher</SoftSkill> und <SoftSkill>leistungsorientierter Macher</SoftSkill>.",HMC,0
,228," Als <SoftSkill_C>kommunikationsstarke</SoftSkill_C> und <SoftSkill>pragmatische Persönlichkeit</SoftSkill> beweisen Sie eine
<SoftSkill>ausgeprägte Kundenorientierung</SoftSkill>. ->",Als <SoftSkill>kommunikationsstarke Persönlichkeit</SoftSkill> und <SoftSkill>pragmatische Persönlichkeit</SoftSkill> beweisen Sie eine <SoftSkill>ausgeprägte Kundenorientierung</SoftSkill>.,OWA,0
,229," Sie sind eine <SoftSkill_C>initiative</SoftSkill_C> und <SoftSkill>kommunikative Person</SoftSkill>, die <SoftSkill>gern im Team an wissenschaftlichen Fragestellungen arbeitet</SoftSkill> und <SoftSkill>an deren Anwendung in der Praxis interessiert ist</SoftSkill>. ->"," Sie sind eine <SoftSkill>initiative Person</SoftSkill> und <SoftSkill>kommunikative Person</SoftSkill>, die <SoftSkill>gern im Team an wissenschaftlichen Fragestellungen arbeitet</SoftSkill> und <SoftSkill>an deren Anwendung in der Praxis interessiert ist</SoftSkill>.",OWA,0
,230,•  <SoftSkill_C>Selbständige</SoftSkill_C> und <SoftSkill>speditive Arbeitsweise</SoftSkill> ->,<SoftSkill>Selbständige Arbeitsweise</SoftSkill> und <SoftSkill>speditive Arbeitsweise</SoftSkill>,OWA,0
