prompt,predicted_text
" <SoftSkill_C>Hohe Leistungs-</SoftSkill_C> und <SoftSkill>Eigenmotivation</SoftSkill>
Wir suchen Menschen wie Sie - mit konkreten Berufsplänen und dem <SoftSkill>Willen, vom ersten Tag an Verantwortung zu übernehmen</SoftSkill>. ->"," <SoftSkill>Hohe Leistungsmotivation</SoftSkill> und <SoftSkill>Eigenmotivation</SoftSkill>
Wir suchen Menschen wie Sie - mit konkreten Berufsplänen und dem <SoftSkill>Willen, vom ersten Tag an Verantwortung zu übernehmen</SoftSkill>."
" •  <SoftSkill_C>Ganzheitliche</SoftSkill_C>, <SoftSkill_C>konzeptionelle</SoftSkill_C> und <SoftSkill>vernetzte Denk</SoftSkill> und <SoftSkill>Handlungsweise</SoftSkill ->"," • <SoftSkill>Ganzheitliche Denkweise</SoftSkill>, <SoftSkill>konzeptionelle Denkweise</SoftSkill> und <SoftSkill>vernetzte Denkweise</SoftSkill> und <SoftSkill>handlungsweise</SoftSkill>"
" Hochschulabschluss, Kenntnisse in der Zerspanung und Spanntechnik
<SoftSkill>nationale Reisebereitschaft</SoftSkill>
<SoftSkill_C>verhandlungs-</SoftSkill_C> und <SoftSkill>stilsichere Deutsch- und Französischkenntnisse</SoftSkill>, Niveau C1 zwingend erforderlich
Wohnort Westschweiz ->"," Hochschulabschluss, Kenntnisse in der Zerspanung und Spanntechnik
<SoftSkill>nationale Reisebereitschaft</SoftSkill>
<SoftSkill>verhandlungssichere Deutschkenntnisse</SoftSkill> und <SoftSkill>stilsichere Deutsch- und Französischkenntnisse</SoftSkill>, Niveau C1 zwingend erforderlich
Wohnort Westschweiz"
 Sie verfügen über eine <SoftSkill>hohe Dienstleistungsorientierung</SoftSkill> und <SoftSkill>Sozialkompetenz</SoftSkill> sowie <SoftSkill>unternehmerisches Denken</SoftSkill> und <SoftSkill_C>Handeln</SoftSkill_C>. ->, Sie verfügen über eine <SoftSkill>hohe Dienstleistungsorientierung</SoftSkill> und <SoftSkill>Sozialkompetenz</SoftSkill> sowie <SoftSkill>unternehmerisches Denken</SoftSkill> und <SoftSkill>unternehmerisches Handeln</SoftSkill>.
" <SoftSkill_C>Pragmatisches</SoftSkill_C>, <SoftSkill>lösungsorientiertes Handeln</SoftSkill>, <SoftSkill>Belastbarkeit</SoftSkill> sowie <SoftSkill>sicheres Auftreten</SoftSkill> gehören zu Ihren Stärken. ->"," <SoftSkill>Pragmatisches Handeln</SoftSkill>, <SoftSkill>lösungsorientiertes Handeln</SoftSkill>, <SoftSkill>Belastbarkeit</SoftSkill> sowie <SoftSkill>sicheres Auftreten</SoftSkill> gehören zu Ihren Stärken."
 <SoftSkill>Denkst du gerne logisch</SoftSkill> und <SoftSkill>arbeitest du mit Hand und Kopf exakt</SoftSkill> und <SoftSkill_C>sorgfältig</SoftSkill_C>? ->, <SoftSkill>Denkst du gerne logisch</SoftSkill> und <SoftSkill>arbeitest du mit Hand und Kopf exakt</SoftSkill> und <SoftSkill>arbeitest du mit Hand und Kopf sorgfältig</SoftSkill>?
 •  Du <SoftSkill_C>sprichst</SoftSkill_C> und <SoftSkill>schreibst stilsicher Deutsch</SoftSkill> und Englisch. ->, Du <SoftSkill>sprichst stilsicher Deutsch</SoftSkill> und <SoftSkill>schreibst stilsicher Deutsch</SoftSkill> und Englisch.
" Neben <SoftSkill>tadellosem Auftreten</SoftSkill> und <SoftSkill>gepflegtem Äusseren</SoftSkill>, erledigen Sie Ihre Aufgaben selbstständig und <SoftSkill_C>strukturiert</SoftSkill_C>. ->"," Neben <SoftSkill>tadellosem Auftreten</SoftSkill> und <SoftSkill>gepflegtem Äusseren</SoftSkill>, erledigen Sie Ihre Aufgaben selbstständig und <SoftSkill>strukturiert</SoftSkill>."
" Eine <SoftSkill_C>selbstständige</SoftSkill_C> und <SoftSkill>dienstleistungsorientierte Arbeits-weise sowie</SoftSkill> <SoftSkill>Empathie</SoftSkill>, <SoftSkill>Geduld</SoftSkill> und <SoftSkill>Verständnis im Umgang mit betagten und pflegebedürftigen Menschen</SoftSkill> sind für Sie selbstver-ständlich. ->", Eine <SoftSkill>selbstständige Arbeitsweise und dienstleistungsorientierte Arbeitsweise sowie Empathie im Umgang mit betagten und pflegebedürftigen Menschen</SoftSkill> sind für Sie selbstverständlich.
" •  Du <SoftSkill>kannst auch in hektischen Situationen Ruhe bewahren</SoftSkill>, <SoftSkill_C>richtige Prioritäten setzen</SoftSkill_C> und bist
<SoftSkill>belastbar</SoftSkill>. ->"," Du <SoftSkill>kannst auch in hektischen Situationen Ruhe bewahren</SoftSkill>, <SoftSkill>kannst richtige Prioritäten setzen</SoftSkill> und bist <SoftSkill>belastbar</SoftSkill>."
" •  Office
,
Pflegedoc
Als	<SoftSkill_C>ausgesprochen  </SoftSkill_C><SoftSkill_C>teamfähige</SoftSkill_C>  und  <SoftSkill>mental  bewegliche  Persönlichkeit</SoftSkill>
zeichnen Sie sich durch <SoftSkill_C>fachliche</SoftSkill_C> und <SoftSkill>soziale Kompetenzen</SoftSkill>
aus. ->"," • Office,
Pflegedoc
Als <SoftSkill>ausgesprochen teamfähige Persönlichkeit</SoftSkill> und <SoftSkill>mental bewegliche Persönlichkeit</SoftSkill> zeichnen Sie sich durch <SoftSkill>fachliche Kompetenzen</SoftSkill> und <SoftSkill>soziale Kompetenzen</SoftSkill>
aus."
" Ausserdem sind Sie eine <SoftSkill_C>lernfreudige</SoftSkill_C>, <SoftSkill>feinfühlige Persönlichkeit</SoftSkill>, die mit einer <SoftSkill_C>offenen</SoftSkill_C> und <SoftSkill>zuverlässigen Haltung zum Betriebsklima beiträgt</SoftSkill>. ->"," Ausserdem sind Sie eine <SoftSkill>lernfreudige Persönlichkeit</SoftSkill>, <SoftSkill>feinfühlige Persönlichkeit</SoftSkill>, die mit einer <SoftSkill>offenen Haltung zum Betriebsklima</SoftSkill> und <SoftSkill>zuverlässigen Haltung zum Betriebsklima beiträgt</SoftSkill>."
 Als <SoftSkill_C>kunden-</SoftSkill_C> und <SoftSkill_C>lösungsorientierte</SoftSkill_C> sowie gleichzeitig <SoftSkill_C>exakt</SoftSkill_C> und <SoftSkill>strukturiert arbeitende Persönlichkeit</SoftSkill> sind Sie für die administrative Fallführung unserer erkrankten oder verunfallten Mitarbeitenden zuständig. ->, Als <SoftSkill>kundenorientierte Persönlichkeit</SoftSkill> und <SoftSkill>lösungsorientierte Persönlichkeit</SoftSkill> sowie gleichzeitig <SoftSkill>exakt arbeitende Persönlichkeit</SoftSkill> und <SoftSkill>strukturiert arbeitende Persönlichkeit</SoftSkill> sind Sie für die administrative Fallführung unserer erkrankten oder verunfallten Mitarbeitenden zuständig.
" Schüler der OBS werden ermutigt zu fragen, zu <SoftSkill_C>forschen</SoftSkill_C>, <SoftSkill>selbständig zu denken</SoftSkill> und <SoftSkill>Verantwortung zu tragen</SoftSkill>. ->"," Schüler der OBS werden ermutigt zu fragen, zu <SoftSkill>forschen</SoftSkill>, <SoftSkill>selbständig zu denken</SoftSkill> und <SoftSkill>Verantwortung zu tragen</SoftSkill>."
 •  <SoftSkill>Flair für Ordnung</SoftSkill> und <SoftSkill_C>Sauberkeit</SoftSkill_C ->, <SoftSkill>Flair für Ordnung</SoftSkill> und <SoftSkill>Flair für Sauberkeit</SoftSkill>.
" Ihr Profil
Aufgrund Ihrer mehrjährigen Berufserfahrung mit Industrie-Versicherungen oder Risikomanagement, <SoftSkill>übernehmen Sie Mitverantwortung</SoftSkill> und <SoftSkill>handeln ziel-</SoftSkill> sowie <SoftSkill_C>teamorientiert</SoftSkill_C>. ->"," Ihr Profil
Aufgrund Ihrer mehrjährigen Berufserfahrung mit Industrie-Versicherungen oder Risikomanagement, <SoftSkill>übernehmen Sie Mitverantwortung</SoftSkill> und <SoftSkill>handeln zielorientiert</SoftSkill> sowie <SoftSkill>handeln teamorientiert</SoftSkill>."
" Sind sie eine <SoftSkill_C>motivierte</SoftSkill_C>, <SoftSkill_C>kommunikative</SoftSkill_C> und <SoftSkill>strukturierte Persönlichkeit</SoftSkill> ? ->"," Sind sie eine <SoftSkill>motivierte Persönlichkeit</SoftSkill>, <SoftSkill>kommunikative Persönlichkeit</SoftSkill> und <SoftSkill>strukturierte Persönlichkeit</SoftSkill> ?"
" <SoftSkill>Interesse an detailorientierter Analysetätigkeit</SoftSkill>
Sehr gute Deutsch- und Englischkenntnisse
<SoftSkill>Schnelle Auffassungsgabe</SoftSkill>
<SoftSkill_C>Teamorientierte</SoftSkill_C> und <SoftSkill>exakte Arbeitsweise</SoftSkill>
<SoftSkill_C>Vertrauenswürdige</SoftSkill_C> und <SoftSkill>verantwortungsbewusste Persönlichkeit</SoftSkill ->"," <SoftSkill>Interesse an detailorientierter Analysetätigkeit</SoftSkill>
Sehr gute Deutsch- und Englischkenntnisse
<SoftSkill>Schnelle Auffassungsgabe</SoftSkill>
<SoftSkill>Teamorientierte Arbeitsweise</SoftSkill> und <SoftSkill>exakte Arbeitsweise</SoftSkill>
<SoftSkill>Vertrauenswürdige Persönlichkeit</SoftSkill> und <SoftSkill>verantwortungsbewusste Persönlichkeit</SoftSkill>"
" jemand, der <SoftSkill>verantwortungsvollen Tätigkeiten schätzt</SoftSkill> und diese <SoftSkill_C>gekonnt</SoftSkill_C> und <SoftSkill>selbständig im Team einbringt</SoftSkill>. ->"," jemand, der <SoftSkill>verantwortungsvollen Tätigkeiten schätzt</SoftSkill> und diese <SoftSkill>gekonnt im Team einbringt</SoftSkill> und <SoftSkill>selbständig im Team einbringt</SoftSkill>."
 •  <SoftSkill_C>Engagierte</SoftSkill_C> und <SoftSkill>kundenorientierte Arbeitsweise</SoftSkill ->, <SoftSkill>Engagierte Arbeitsweise</SoftSkill> und <SoftSkill>kundenorientierte Arbeitsweise</SoftSkill>
" Erfahrung im Lebensmittelbereich zwingend (Erfahrung als Produktionsmitarbeiter von Vorteil)
Gute Deutschkenntnisse (mindestens Level B1)
<SoftSkill_C>Zuverlässige</SoftSkill_C>, <SoftSkill_C>flexible</SoftSkill_C> und <SoftSkill>sichere Arbeitsweise</SoftSkill ->"," Erfahrung im Lebensmittelbereich zwingend (Erfahrung als Produktionsmitarbeiter von Vorteil)
Gute Deutschkenntnisse (mindestens Level B1)
<SoftSkill>Zuverlässige Arbeitsweise</SoftSkill>, <SoftSkill>flexible Arbeitsweise</SoftSkill> und <SoftSkill>sichere Arbeitsweise</SoftSkill>"
 •  <SoftSkill_C>Interesse</SoftSkill_C> und <SoftSkill>Freude an der Arbeit mit Kindern</SoftSkill ->, <SoftSkill>Interesse an der Arbeit mit Kindern</SoftSkill> und <SoftSkill>Freude an der Arbeit mit Kindern</SoftSkill>
 •  <SoftSkill_C>Angenehmes</SoftSkill_C> und <SoftSkill>sympathisches Auftreten</SoftSkill> gepaart mit <SoftSkill>Durchsetzungsvermögen</SoftSkill ->, • <SoftSkill>Angenehmes Auftreten</SoftSkill> und <SoftSkill>sympathisches Auftreten</SoftSkill> gepaart mit <SoftSkill>Durchsetzungsvermögen</SoftSkill>
 Für unsere Filiale in Zug suchen wir eine <SoftSkill_C>motivierte</SoftSkill_C> und <SoftSkill>fachkundige Persönlichkeit</SoftSkill> als ->, Für unsere Filiale in Zug suchen wir eine <SoftSkill>motivierte Persönlichkeit</SoftSkill> und <SoftSkill>fachkundige Persönlichkeit</SoftSkill> als
 •  <SoftSkill_C>Ökologisches</SoftSkill_C> und <SoftSkill>umweltgerechtes Denken</SoftSkill> und <SoftSkill_C>Handeln</SoftSkill_C ->, <SoftSkill>Ökologisches Denken</SoftSkill> und <SoftSkill>umweltgerechtes Denken</SoftSkill> und <SoftSkill>ökologisches Handeln</SoftSkill>
" •  <SoftSkill_C>Unternehmerisches</SoftSkill_C>, <SoftSkill>zukunftsorientiertes Denken</SoftSkill>
Wir können Ihnen eine interessante Arbeit in einem nicht weniger interessanten Umfeld
anbieten. ->"," • <SoftSkill>Unternehmerisches Denken</SoftSkill>, <SoftSkill>zukunftsorientiertes Denken</SoftSkill>
Wir können Ihnen eine interessante Arbeit in einem nicht weniger interessanten Umfeld
anbieten."
" •  <SoftSkill>Interesse an technischen Arbeiten</SoftSkill> und <SoftSkill_C>Verfahren</SoftSkill_C> sowie <SoftSkill>Fähigkeit, Probleme zu bearbeiten und zu lösen</SoftSkill ->"," • <SoftSkill>Interesse an technischen Arbeiten</SoftSkill> und <SoftSkill>Interesse an Verfahren</SoftSkill> sowie <SoftSkill>Fähigkeit, Probleme zu bearbeiten und zu lösen</SoftSkill>"
" <SoftSkill_C>Hohes Mass an kommunikativen</SoftSkill_C> und <SoftSkill>organisatorischen Fähigkeiten</SoftSkill>, sowie ein <SoftSkill_C>sicheres</SoftSkill_C> und <SoftSkill>überzeugendes Auftreten</SoftSkill>. ->"," <SoftSkill>Hohes Mass an kommunikativen Fähigkeiten</SoftSkill> und <SoftSkill>organisatorischen Fähigkeiten</SoftSkill>, sowie ein <SoftSkill>sicheres Auftreten</SoftSkill> und <SoftSkill>überzeugendes Auftreten</SoftSkill>."
 Auf der Agentur <SoftSkill>beraten Sie die Kunden kompetent</SoftSkill> und <SoftSkill_C>bedürfnisgerecht</SoftSkill_C> aus unserem umfassenden und attraktiven Versicherungsangebot. ->, Auf der Agentur <SoftSkill>beraten Sie die Kunden kompetent</SoftSkill> und <SoftSkill>beraten Sie die Kunden bedürfnisgerecht</SoftSkill> aus unserem umfassenden und attraktiven Versicherungsangebot.
 •  <SoftSkill_C>Wertschätzende</SoftSkill_C> und <SoftSkill>konstruktive Teamarbeit</SoftSkill ->, <SoftSkill>Wertschätzende Teamarbeit</SoftSkill> und <SoftSkill>konstruktive Teamarbeit</SoftSkill>
" AnforderungenSekundarschulabschlussInteresse an Büchern, neuen Medien und <SoftSkill_C>InformationstechnologienOrdnungs-und</SoftSkill_C> <SoftSkill>DienstleistungssinnGuter</SoftSkill> sprachlicher Ausdruck, <SoftSkill>exakte ArbeitsweiseGute AllgemeinbildungAufgeschlossene</SoftSkill>, <SoftSkill_C>kontaktfreudige</SoftSkill_C>, <SoftSkill_C>selbständige</SoftSkill_C>, <SoftSkill_C>belastbareund</SoftSkill_C> <SoftSkill>teamfähige PersönlichkeitWirbieteneine</SoftSkill> vielseitige praktische Ausbildung in einemlebendigen, attraktiven Umfeld. ->"," AnforderungenSekundarschulabschlussInteresse an Büchern, neuen Medien und <SoftSkill>InformationstechnologienOrdnungs-und</SoftSkill> <SoftSkill>DienstleistungssinnGuter</SoftSkill> sprachlicher Ausdruck, <SoftSkill>exakte ArbeitsweiseGute AllgemeinbildungAufgeschlossene</SoftSkill>, <SoftSkill>kontaktfreudige</SoftSkill>, <SoftSkill>selbständige</SoftSkill>, <SoftSkill>belastbareund</SoftSkill> <SoftSkill>teamfähige PersönlichkeitWirbieteneine</SoftSkill> vielseitige prakt"
" <SoftSkill>Administrative Arbeiten übernehmen Sie gerne</SoftSkill> und <SoftSkill_C>gekonnt</SoftSkill_C>, Sie sind <SoftSkill>teamfähig</SoftSkill>, <SoftSkill>flexibel</SoftSkill> und <SoftSkill>belastbar</SoftSkill>. ->"," <SoftSkill>Administrative Arbeiten übernehmen Sie gerne</SoftSkill> und <SoftSkill>administrative Arbeiten übernehmen Sie gekonnt</SoftSkill>, Sie sind <SoftSkill>teamfähig</SoftSkill>, <SoftSkill>flexibel</SoftSkill> und <SoftSkill>belastbar</SoftSkill>."
" Ihr Profil
Wir wenden uns an eine <SoftSkill_C>unternehmerisch denkende</SoftSkill_C> und <SoftSkill>erfahrene Führungspersönlichkeit</SoftSkill>. ->", Ihr Profil Wir wenden uns an eine <SoftSkill>unternehmerisch denkende Führungspersönlichkeit</SoftSkill> und <SoftSkill>erfahrene Führungspersönlichkeit</SoftSkill>.
 •  Sie <SoftSkill>arbeiten gerne mit Zahlen</SoftSkill> und das <SoftSkill_C>analytische</SoftSkill_C> und <SoftSkill>vernetzte Denken</SoftSkill> zählen Sie zu Ihren Stärken. ->, • Sie <SoftSkill>arbeiten gerne mit Zahlen</SoftSkill> und das <SoftSkill>analytische Denken</SoftSkill> und <SoftSkill>vernetzte Denken</SoftSkill> zählen Sie zu Ihren Stärken.
" Ihre <SoftSkill>Affinität zu Chemikalien</SoftSkill>
sowie Ihre <SoftSkill>Bereitschaft zur Reisetätigkeit</SoftSkill>,
ergänzt mit Ihrem <SoftSkill_C>souveränen</SoftSkill_C> und <SoftSkill>zuvorkommenden
Wesen</SoftSkill>, machen Sie zum
idealen Ansprechpartner für unsere Kunden. ->"," Ihre <SoftSkill>Affinität zu Chemikalien</SoftSkill>
sowie Ihre <SoftSkill>Bereitschaft zur Reisetätigkeit</SoftSkill>,
ergänzt mit Ihrem <SoftSkill>souveränen Wesen</SoftSkill> und <SoftSkill>zuvorkommenden Wesen</SoftSkill>, machen Sie zum
idealen Ansprechpartner für unsere Kunden."
" Für den Bereich Entwicklung Hüfte suchen wir eine <SoftSkill_C>selbstständige</SoftSkill_C> und <SoftSkill>teamorienierte Persönlichkeit</SoftSkill> als
Senior Development Engineer Maintenance (m/w) 100%
Ihre Aufgaben ->"," Für den Bereich Entwicklung Hüfte suchen wir eine <SoftSkill>selbstständige Persönlichkeit</SoftSkill> und <SoftSkill>teamorienierte Persönlichkeit</SoftSkill> als Senior Development Engineer Maintenance (m/w) 100%
Ihre Aufgaben"
 Sie <SoftSkill>pflegen die selbständige</SoftSkill> und <SoftSkill_C>initiative Arbeitsweise</SoftSkill_C>. ->, Sie <SoftSkill>pflegen die selbständige Arbeitsweise</SoftSkill> und <SoftSkill>pflegen die initiative Arbeitsweise</SoftSkill>.
" Eine <SoftSkill_C>dynamische</SoftSkill_C>, <SoftSkill>leistungsorientierte Persönlichkeit</SoftSkill>, die mit einer starken Firma als Stütze mit viel Eigenverantwortung in die Zukunft gehen will! ->"," Eine <SoftSkill>dynamische Persönlichkeit</SoftSkill>, <SoftSkill>leistungsorientierte Persönlichkeit</SoftSkill>, die mit einer starken Firma als Stütze mit viel Eigenverantwortung in die Zukunft gehen will!"
" Sie <SoftSkill>arbeiten gerne mit Menschen</SoftSkill>, sind <SoftSkill_C>verantwortungsbewusstes</SoftSkill_C> und <SoftSkill>selbständiges Arbeiten gewohnt</SoftSkill>. ->"," Sie <SoftSkill>arbeiten gerne mit Menschen</SoftSkill>, sind <SoftSkill>verantwortungsbewusstes Arbeiten gewohnt</SoftSkill> und <SoftSkill>selbständiges Arbeiten gewohnt</SoftSkill>."
 Wir wenden uns an eine <SoftSkill_C>kunden-</SoftSkill_C> und <SoftSkill>dienstleistungsorientierten</SoftSkill> Landmaschinenmechaniker mit kaufmännischer Weiterbildung. ->, Wir wenden uns an eine <SoftSkill>kundenorientierten Landmaschinenmechaniker</SoftSkill> und <SoftSkill>dienstleistungsorientierten Landmaschinenmechaniker</SoftSkill> mit kaufmännischer Weiterbildung.
" Zudem verfügen
Sie über <SoftSkill_C>hohe Organisations-</SoftSkill_C> und <SoftSkill>Zusammenarbeitskompetenzen</SoftSkill>. ->", Zudem verfügen Sie über <SoftSkill>hohe Organisationskompetenzen</SoftSkill> und <SoftSkill>Zusammenarbeitskompetenzen</SoftSkill>.
 <SoftSkill_C>Kontakt-</SoftSkill_C> und <SoftSkill>Entscheidungsfreudigkeit</SoftSkill ->, <SoftSkill>Kontaktfreudigkeit</SoftSkill> und <SoftSkill>Entscheidungsfreudigkeit</SoftSkill>
" Sind Sie eine <SoftSkill_C>taffe</SoftSkill_C>, <SoftSkill>peppige Persönlichkeit</SoftSkill> im Alter zwischen 25 und 60 Jahren? ->"," Sind Sie eine <SoftSkill>taffe Persönlichkeit</SoftSkill>, <SoftSkill>peppige Persönlichkeit</SoftSkill> im Alter zwischen 25 und 60 Jahren?"
" Sekundarschule A
Gute Noten in Sprachen und Mathematik
<SoftSkill>Interesse für wirtschaftliche Zusammenhänge</SoftSkill>
<SoftSkill>Freude an Sprachen</SoftSkill> und am <SoftSkill_C>Arbeiten am PC</SoftSkill_C>
<SoftSkill>Teamfähig</SoftSkill>
<SoftSkill>Kommunikativ</SoftSkill>
<SoftSkill>Flexibel</SoftSkill>
<SoftSkill>Verantwortungsbewusst</SoftSkill ->"," Sekundarschule A
Gute Noten in Sprachen und Mathematik
<SoftSkill>Interesse für wirtschaftliche Zusammenhänge</SoftSkill>
<SoftSkill>Freude an Sprachen</SoftSkill> und am <SoftSkill>Freude an Sprachen</SoftSkill> und am <SoftSkill>Freude an Sprachen</SoftSkill> und am <SoftSkill>Freude an Sprachen</SoftSkill> und am <SoftSkill>Freude an Sprachen</SoftSkill> und am <SoftSkill>Freude an Sprachen</SoftSkill> und am <SoftSkill>Freude an Sprachen</SoftSkill> und am <SoftSkill>Freude an Sprachen</SoftSkill> und am <SoftSkill>"
 Sie sind eine <SoftSkill_C>unternehmerisch</SoftSkill_C> und <SoftSkill>überlegt handelnde Person</SoftSkill>. ->, Sie sind eine <SoftSkill>unternehmerisch handelnde Person</SoftSkill> und <SoftSkill>überlegt handelnde Person</SoftSkill>.
" <SoftSkill>Fähigkeit, Zusammenhänge rasch zu erkennen</SoftSkill> und <SoftSkill_C>lösungsorientiert zu arbeiten</SoftSkill_C>. ->"," <SoftSkill>Fähigkeit, Zusammenhänge rasch zu erkennen</SoftSkill> und <SoftSkill>Fähigkeit, lösungsorientiert zu arbeiten</SoftSkill>."
" <SoftSkill>Hohes technisches Verständnis</SoftSkill>
<SoftSkill>Handwerkliches Geschick</SoftSkill>
<SoftSkill>Logisches Denken</SoftSkill>
<SoftSkill_C>Exakte</SoftSkill_C> und <SoftSkill>genaue Arbeitsweise</SoftSkill>
<SoftSkill>Zuverlässigkeit</SoftSkill> und <SoftSkill>Verantwortungsbewusstsein</SoftSkill>
<SoftSkill>Teamfähigkeit</SoftSkill>
<SoftSkill>Gute Umgangsformen</SoftSkill ->"," <SoftSkill>Hohes technisches Verständnis</SoftSkill>
<SoftSkill>Handwerkliches Geschick</SoftSkill>
<SoftSkill>Logisches Denken</SoftSkill>
<SoftSkill>Exakte Arbeitsweise</SoftSkill> und <SoftSkill>genaue Arbeitsweise</SoftSkill>
<SoftSkill>Zuverlässigkeit</SoftSkill> und <SoftSkill>Verantwortungsbewusstsein</SoftSkill>
<SoftSkill>Teamfähigkeit</SoftSkill>
<SoftSkill>Gute Umgangsformen</SoftSkill>"
 Ihre <SoftSkill_C>aktive</SoftSkill_C> und <SoftSkill>offene Zusammenarbeit in einem innovativen und aufgestellten Team</SoftSkill> und das <SoftSkill>Beherrschen der deutschen Sprache</SoftSkill> in Wort und Schrift sind uns sehr wichtig. ->, Ihre <SoftSkill>aktive Zusammenarbeit in einem innovativen und aufgestellten Team</SoftSkill> und <SoftSkill>offene Zusammenarbeit in einem innovativen und aufgestellten Team</SoftSkill> und das <SoftSkill>Beherrschen der deutschen Sprache</SoftSkill> in Wort und Schrift sind uns sehr wichtig.
 •  <SoftSkill>Diplomatisches Geschick</SoftSkill>/<SoftSkill_C>Gespür</SoftSkill_C> und <SoftSkill>stilsicherer Umgang mit Menschen und Situationen</SoftSkill ->, • <SoftSkill>Diplomatisches Geschick</SoftSkill>/<SoftSkill>Gespür für diplomatisches Geschick</SoftSkill> und <SoftSkill>stilsicherer Umgang mit Menschen und Situationen</SoftSkill>
 Sie stellt zusätzlich hohe Anforderungen im schulischen Bereich und verlangt die <SoftSkill_C>Bereitschaft</SoftSkill_C> und <SoftSkill>Fähigkeit für eine erweiterte und vertiefte Allgemeinbildung</SoftSkill>. ->, Sie stellt zusätzlich hohe Anforderungen im schulischen Bereich und verlangt die <SoftSkill>Bereitschaft für eine erweiterte und vertiefte Allgemeinbildung</SoftSkill> und <SoftSkill>Fähigkeit für eine erweiterte und vertiefte Allgemeinbildung</SoftSkill>.
 <SoftSkill_C>Sehr gute schriftliche</SoftSkill_C> und <SoftSkill>mündliche Kommunikationsfähigkeiten</SoftSkill ->, <SoftSkill>Sehr gute schriftliche Kommunikationsfähigkeiten</SoftSkill> und <SoftSkill>gute mündliche Kommunikationsfähigkeiten</SoftSkill>
" <SoftSkill_C>Bereichsübergreifende</SoftSkill_C> und <SoftSkill>konstruktive Teamarbeit macht Ihnen Spass</SoftSkill>, Sie sind <SoftSkill>selbstständig</SoftSkill> und <SoftSkill>können sich im richtigen Moment durchsetzen</SoftSkill>. ->"," <SoftSkill>Bereichsübergreifende Teamarbeit macht Ihnen Spass</SoftSkill> und <SoftSkill>konstruktive Teamarbeit macht Ihnen Spass</SoftSkill>, Sie sind <SoftSkill>selbstständig</SoftSkill> und <SoftSkill>können sich im richtigen Moment durchsetzen</SoftSkill>."
 •  <SoftSkill_C>kunden-</SoftSkill_C> und <SoftSkill>serviceorientierter Teamplayer</SoftSkill ->, <SoftSkill>kundenorientierter Teamplayer</SoftSkill> und <SoftSkill>serviceorientierter Teamplayer</SoftSkill>
 •  <SoftSkill_C>Gewandte</SoftSkill_C> und <SoftSkill>stilsichere schriftliche Ausdrucksweise</SoftSkill ->, <SoftSkill>Gewandte schriftliche Ausdrucksweise</SoftSkill> und <SoftSkill>stilsichere schriftliche Ausdrucksweise</SoftSkill>
 Dazu <SoftSkill>arbeiten Sie systematisch</SoftSkill> wie auch <SoftSkill_C>selbständig</SoftSkill_C> und <SoftSkill>fühlen sich wohl in einem kleinen Team</SoftSkill>. ->, Dazu <SoftSkill>arbeiten Sie systematisch</SoftSkill> wie auch <SoftSkill>arbeiten Sie selbständig</SoftSkill> und <SoftSkill>fühlen sich wohl in einem kleinen Team</SoftSkill>.
" Aufgrund Ihrer <SoftSkill>versierten kommunikativen Fähigkeiten</SoftSkill> sind Sie <SoftSkill>in der Lage, Ihre Ergebnisse und Konzepte überzeugend darzulegen</SoftSkill> und zu <SoftSkill_C>begründen</SoftSkill_C>. ->"," Aufgrund Ihrer <SoftSkill>versierten kommunikativen Fähigkeiten</SoftSkill> sind Sie <SoftSkill>in der Lage, Ihre Ergebnisse und Konzepte überzeugend darzulegen</SoftSkill> und <SoftSkill>in der Lage, Ihre Ergebnisse und Konzepte überzeugend zu begründen</SoftSkill>."
 <SoftSkill_C>Interesse</SoftSkill_C> und <SoftSkill>Überzeugung für eine integrative Betreuung</SoftSkill> (gemischte Betreuung von Kindern mit und ohne Behinderung). ->, <SoftSkill>Interesse für eine integrative Betreuung</SoftSkill> und <SoftSkill>Überzeugung für eine integrative Betreuung</SoftSkill> (gemischte Betreuung von Kindern mit und ohne Behinderung).
" Sie haben <SoftSkill>Humor</SoftSkill> und sind <SoftSkill>in der Lage, ihre Arbeitsweise kreativ den geforderten Situationen anzupassen</SoftSkill> und zu <SoftSkill_C>reflektieren</SoftSkill_C>. ->"," Sie haben <SoftSkill>Humor</SoftSkill> und sind <SoftSkill>in der Lage, ihre Arbeitsweise kreativ den geforderten Situationen anzupassen</SoftSkill> und <SoftSkill>in der Lage, ihre Arbeitsweise kreativ den geforderten Situationen zu reflektieren</SoftSkill>."
 •  Sie <SoftSkill_C>sprechen</SoftSkill_C> und <SoftSkill>schreiben Deutsch stilsicher</SoftSkill> und verfügen auch über gute Englischkenntnisse. ->, • Sie <SoftSkill>sprechen Deutsch stilsicher</SoftSkill> und <SoftSkill>schreiben Deutsch stilsicher</SoftSkill> und verfügen auch über gute Englischkenntnisse.
